Dobrý den všem .	Guten Tag an alle .
Moc se omlouvám , ale nové technologie nemám moc v lásce .	Ich entschuldige mich , aber neue Technologien @ mag ich nicht ganz gerne .
A necítím se moc pohodlně v tomto momentu , ale doufám , že bude všechno v pořádku , že mě slyšíte .	Ich fühle mich nicht ganz angenehm in diesem Moment . Ich hoffe , dass Sie mich hören .
Mockrát děkuji za pozvání .	Vielen Dank für die Einladung .
Je pro mě velkou ctí , že zde mohu vystoupit na této konferenci .	Es ist eine große Ehre , dass ich hier auftreten kann auf dieser Konferenz .
Jmenuji se Lilia Fernández Sousa a jsem z Mexika . Pracuji na Yucatánské univerzitě jako archeoložka .	Ich heiße @ Lidia Fernández-Souza , komme aus Mech- Mexiko und arbeite an der Rio-Catanischen Universität als Arche- Archäologin .
Zaměřuji se na klasické období majské kultury .	Ich orientiere mich auf die klassischen @ Epoche des @ Maya @ der Maya-Kultur .
Proto bych ráda hovořila o majské kultuře a také o majském písmu .	Ich möchte über der Mayaschr- die Maya-Schrift sprechen .
Tématem naší konference je kulturní rozmanitost .	
Toto téma se tedy velice hodí .	
Všichni víme , že abychom mohli poznat kulturu , musíme ji také rozumět .	Wir alle wissen , dass @ wenn wir eine @ Kultur kennenlernen möchten , müssen wir sie auch verstehen .
A může se zdát velmi těžkým úkolem porozumět kultuře , která je velmi odlišná od té naší .	Das ist natürlich sehr schwierig , eine Kultur zu verstehen , die sehr unterschiedlich ist .
Nyní si ale představme , že jsme archeologové a chceme poznat nějakou starou kulturu .	Aber stellen wir uns jetzt vor , dass wir eine alte Kultur kennenlernen möchten , wenn wir Archäologen wären .
To jediné , co k dispozici máme , jsou fyzické předměty , jako třeba keramika nebo kosti . A jenom na základě toho musíme vytvořit historii této kultury .	Die klassischen Gegenstände wie Keramik und @ Bohnen @ bieten uns die Geschichte zu gestalten .
Téměř nemožné , že ?	Es scheint unmöglich zu sein .
My archeologové jsme opravdu luštitelé .	Wir Archäologen sind wirklich @ Ziffer .
Někteří si to připouští a někteří ne .	Manche nehmen das wahr , manche nicht .
Co je ale velmi frustrující je , že nějaká kultura má písmo , které je nerozluštitelné a nerozluštěné .	Ziemlich frustrierend ist es , dass eine Kultur , manche Kulturen eine ungezifferte und unzifferbare und entzifferbare Schrift haben .
To se stalo archeologům na přelomu 19. a 20. století s majským písmem .	Das ist genau mit der Maya-Schrifts passiert .
Archeologové , kteří se touto kulturou zabývali , nebyli schopni číst jejich písmo .	Die Archäologen wären nicht fähig , diese Schrift zu lesen und entziffern .
Jedná se o nápisy , které se nacházely v Mexiku , Guatemale nebo Belize .	Es handelt sich um Überschriften , die man in Mexiko , Guatemala und in anderen Staaten gefunden hatte .
Nápisy majštiny se nacházely především na pyramidách a na kamenných ( stélách ) .	Die Überschriften fand man auf den Pyramiden oder steindenden Stellen .
Vědci neměli ani ponětí o tom , co takové písmo může znamenat .	Deutschen hatten keine Ahnung , was solche Schrift bedeuten kann .
Majské písmu existuje dodnes , ale už v 16. století se umění psát a číst majské písmo ztratilo .	Die Maya-Schrift gibt es bis heute , aber schon in dem 16. Jahrhundert hat die Kun- die Kunst des Sch- des Maya-Schriftes verschwunden .
Těmto neznámým znakům se říkalo hieroglyfy . Správnější označení je ale logogram .	Diese unbekannte Zeichen nannte man Hieroglyphen , aber genauere Bezeichnung i- dafür ist ein Logogramm .
Logogram , tedy obrázek , který představuje neboli popisuje jedno slovo .	Es ist ein Bild , der ein das ein Wort beschreibt .
Majské písmo se používalo pro vyprávění životu . života elit anebo pro vyprávění o náboženství .	Die Maya-Schrift bas hast man für die Erzählung über das Leben der Eliten oder über Religion benutzt .
Majské písmo jsme nenašli jen na veřejných prostranstvích ve městech , ale také v kodexech , v rukopisních knihách .	Die Maya-Schrift haben wir nicht nur in öffentlichen Raumen gefunden , in Städten , aber auch in Kodedizes Kodizes , in Büchern .
Existuje pouze pět kodexů na celém světě a to je zvláštní , protože májové psali hodně .	Es gibt nur fünf Kodizes in der ganzen Welt . But das sehr komisch , weil die Maya sehr viel geschrieben haben .
Velká část těchto kodexů byla zničena v 16. století františkánským biskupem Diego de Landau .	Ein großer Teil dieser Kodizes wurde von dem Franziskaner Bischof Gelando @ zerstört .
Diego de Landa zničil téměř veškeré majské rukopistné knihy , protože popisovali heretické náboženství májů .	Diego de Landau hat fast alle handgeschriebene Maya-Bücher @ zerstören lassen , weil sie haben über die Maya-Götter gesprochen .
Zároveň ale tento františkanský misionář napsal zprávu o věcech na Yukatánu v originálu Relación de las Cosas del Jucatán .	Aber dabei hat er auch ein Buch @ schrieben lassen , Relacion de las cosas de Yucatán , das heißt Bericht über die Sachen von Yucatan .
Autor této knihy popsal v jedné části knihy majské písmo .	Und ein Autor hat in diesem Buch die @ die Schrift beschrieben hatte .
A proto abeceda majského písma , ačkoliv víme , že se jedná o logogramy a ne o abecedu , je nazvaná takzvanou landovskou abecedou .	Deswegen benannt ge- nennt man dieses Schrift , dieses Alphabet , auch Lada- Linda-Alphabet .
V roce 1862 se tento rukopis našel v Madridu . A tak díky této knihy knize mohli archeologové a vědci pokračovat ve výzkumu rozluštění majského písma .	Es wurde diese @ Handschrift wurde , diese Manuskript wurde in Spanien gefunden und man erhoffte , mit diesem Buch die Mayaschrift zu entziffern , aber es ist nicht gelungen .
To se nepodařilo až do 50. let 20. století .	
Jedná se o velmi zajímavou historku .	
