Dobrý den všem .	Hello , everybody .
Moc se omlouvám , ale nové technologie nemám moc v lásce .	I 'm deeply sorry , but I 'm not very , I 'm not friends very with technologies .
A necítím se moc pohodlně v tomto momentu , ale doufám , že bude všechno v pořádku , že mě slyšíte .	
Mockrát děkuji za pozvání .	Thank you for having me .
Je pro mě velkou ctí , že zde mohu vystoupit na této konferenci .	It 's an honour to speak at this conference .
Jmenuji se Lilia Fernández Sousa a jsem z Mexika .	My name is Lilia Fernández Souza and I come from Mexico .
Pracuji na Yucatánské univerzitě jako archeoložka . Zaměřuji se na klasické období majské kultury .	I work at the University of Yucatán as archaeologist and I am specialized in the Maya culture .
Proto bych ráda hovořila o majské kultuře a také o majském písmu .	And that 's why I would like to talk about the Maya culture and the Maya script .
Tématem naší konference je kulturní rozmanitost .	The topic of today 's conference is the cultural diversity .
Toto téma se tedy velice hodí . Všichni víme , že abychom mohli poznat kulturu , musíme ji také rozumět .	Everyone knows that if you want to get to know a culture , you need to understand it as well .
A může se zdát velmi těžkým úkolem porozumět kultuře , která je velmi odlišná od té naší .	Sometimes it might be really hard to understand a culture that 's very different from our own one , our own culture .
Nyní si ale představme , že jsme archeologové a chceme poznat nějakou starou kulturu .	But today we will try to get to know the Maya culture .
To jediné , co k dispozici máme , jsou fyzické předměty , jako třeba keramika nebo kosti . A jenom na základě toho musíme vytvořit historii této kultury .	We only have archaeological artefacts such as stones and bones and only based on that we can try to get to know this culture .
Téměř nemožné , že ?	
My archeologové jsme opravdu luštitelé .	We archaeologists are truly decipherers .
Někteří si to připouští a někteří ne .	Some of us like to admit that , some of us don 't .
Co je ale velmi frustrující je , že nějaká kultura má písmo , které je nerozluštitelné a nerozluštěné .	It is frustrating , however , that a culture has a script that has not been deciphered .
To se stalo archeologům na přelomu 19. a 20. století s majským písmem .	That , this is what happened to the scientists at the end of the 19th and beginning of the 20th century with the Maya script .
Archeologové , kteří se touto kulturou zabývali , nebyli schopni číst jejich písmo .	The archaeologists and the scientists were not able to read the , this script .
Jedná se o nápisy , které se nacházely v Mexiku , Guatemale nebo Belize .	I 'm referring to inscriptions found in , for example , Guatemala or Belize .
Nápisy majštiny se nacházely především na pyramidách a na kamenných ( stélách ) .	The Maya inscriptions were mainly found on pyramids and stone steles .
Vědci neměli ani ponětí o tom , co takové písmo může znamenat .	The scientists had no idea what the script could mean .
Majské písmu existuje dodnes , ale už v 16. století se umění psát a číst majské písmo ztratilo .	The Maya script still exists , but already in the 16th century , the art of writing and reading the Maya script was lost .
Těmto neznámým znakům se říkalo hieroglyfy . Správnější označení je ale logogram .	These glyphs were called hieroglyphs , but it 's more correct to call them logograms .
Logogram , tedy obrázek , který představuje neboli popisuje jedno slovo .	Logograms are pictures that descript one word , for example .
Majské písmo se používalo pro vyprávění životu . života elit anebo pro vyprávění o náboženství .	The Maya script was used to narrate lives , lives of the elite , or to narrate about religion .
Majské písmo jsme nenašli jen na veřejných prostranstvích ve městech , ale také v kodexech , v rukopisních knihách . Existuje pouze pět kodexů na celém světě a to je zvláštní , protože májové psali hodně .	The , we did not find the Maya script , not only , I 'm sorry , we can found the Maya script not only on sites and buildings in the public , but we 've also got written documents in the Maya .
Velká část těchto kodexů byla zničena v 16. století františkánským biskupem Diego de Landau .	There are codices but most of them were destroyed in the 17th century .
Diego de Landa zničil téměř veškeré majské rukopistné knihy , protože popisovali heretické náboženství májů .	They were destructed by Diego Landa , who destroyed them because they descripted a heretic religion of the Mayas .
Zároveň ale tento františkanský misionář napsal zprávu o věcech na Yukatánu v originálu Relación de las Cosas del Jucatán . Autor této knihy popsal v jedné části knihy majské písmo .	But this missionary also wrote a depiction of the Maya culture in a work that 's called in Spanish Relación de las Cosas de Yucatán .
A proto abeceda majského písma , ačkoliv víme , že se jedná o logogramy a ne o abecedu , je nazvaná takzvanou landovskou abecedou .	And thanks to this work , we also managed to get to the Maya alphabet and that 's why this alphabet is also called the Landa alphabet .
V roce 1862 se tento rukopis našel v Madridu .	This manuscript that I mentioned was found in Madrid .
A tak díky této knihy knize mohli archeologové a vědci pokračovat ve výzkumu rozluštění majského písma .	And thanks to this book , therefore , the scientists could carry on the efforts to decipher the Maya script .
To se nepodařilo až do 50. let 20. století .	They managed to do that only in 1950s .
Jedná se o velmi zajímavou historku .	And it 's really an interesting anecdote .
Až do konce druhé světové války písmo nebylo rozluštěno . Až do doby , kdy mladý sovětský voják našel v berlínské knihovně knihu , která ho velmi zaujala .	The script wasn 't deciphered up until a young Soviet soldier found a book in the , in a Berlin library that captivated him .
Tento voják se nazýval , se jmenoval Jurij Knorozov a jednalo se právě o zprávu o věcech na Yukatanu .	This soldier was Yuri Knorozov and what he found was the manuscript by Diego de Landa .
Knorozov byl student historie , tuto knihu odvezl do Sovětského svazu a tam ji začal zkoumat . Pustil se tedy do práce rozluštění majských symbolů .	Yuri Knorozov took the book to , back to the Soviet Union and started to study the manuscript and he started to try to decipher the Maya script .
V roce 1952 publikoval článek , kde vysvětloval některé principy majského písma .	Later on , he published an article explaining some basic principles of the Maya script .
Vysvětoval tedy to , že některé ( abecedy ) symboly abecedy Diegade Landi jsou nejen písmena , ale jedná se o celá slova .	He explained that some of the symbols from the Diego de Landa alphabet were not only letters , but they were whole words .
Později se tedy podařilo rozluštit další symboly a slova a dokonce i některé texty .	Later , more symbols and words were deciphered and even some texts were deciphered .
Odborníci na majskou kulturu se ale prací tohoto mladíka příliš nenadchli .	Specialists in the Maya culture , however , were not very excited about Yuri Knorozov 's work .
Navíc dalším odborníkem byl Erik Thompson , který byl odpůrcem práce Juriho Knorozova . Myslel si , že jeho práce není vědecky založená .	There was another expert , Sir John Eric Sidney Thompson , who was completely against Yuri Knorozov 's work , which he considered unfounded , not founded on evidence .
Samozřejmě tento problém byl také ve spojení s se studenou válkou . Můžeme tady vidět , že světová politika hrála významnou roli také v archeologii .	But the problem also was that there was the Cold War and one of them was from the Soviet Union and the other one was from the Western world .
Což je věda , která se zabývá velmi vzdálenou minulostí .	But we 've got archeology , a science that studies a very far past .
Nicméně Erik Thompson rozluštil některé majské symboly .	
Největší práce na rozluštění majského písma začaly v 70. letech 20. století .	If I go back to the deciphering of the Maya script , the works on deciphering continued in 1970s .
Přispělo k této práci především americká skupina odborníků vedená Lindou Schill . Tito odborníci ( vyleštili ) vyluštili mnoho dalších neznámých symbolů z majského písma .	And there was a group of American scientists led by Linda Shele , who contributed a lot to this work because they deciphered a lot of symbols of the Maya script .
A tak dnes díky práci mnoha výzkumníků jsme schopni přečíst velkou část majských symbolů a porozumět do určité míry majské kultuře .	So nowadays , thanks to a number of scientists , we can read a lot of Maya glyphs and understand a part of the Maya civilization .
Zatím máme před sebou mnoho práce , ale už nějaké znalosti o majské kultuře díky rozluštění jejího písma máme .	There 's still a lot of work ahead of us , but we do have some knowledge about the civilization .
Jak už jsem řekla , majština se používala pro popisování života lity a popisování náboženství .	As I 've already said , the Maya script was used to describe the life of the elite and also to describe the religion .
A tak možná nikdy nebudeme vědět , jak vypadal život běžných obyvatel , kteří používali májštinu jako svůj jazyk .	So maybe we will never know what was the life of ordinary people that used this language .
Já jen doufám , že v budoucnu se nám podaří rozluštit mnohem více a poznat více o této vzdálené a zvláštní kultuře .	My only hope is that in the future we will manage to decipher more and learn more about this far distant and not very known culture .
To je vše z mé strany .	
Děkuji , že jste mě vyslechli a doufám , že jste se něco zajímavého naučili . Děkuji .	Thank you very much for your attention .
