Thank you , thank you very much . Good afternoon , ladies and gentlemen .	Dobrý den , mnohokrát vám děkuji za to , že jste mě sem pozvali .
It is a great honor for me to be here today among all the amazing speakers .	
My name is Carolina Salgi , and I 'm a professor of global affairs at Wake Forest University .	
And at the same time , I am a freelance business consultant .	
You might be asking , how do I fit here in today 's program ?	Jsem moc ráda , že tu můžu být .
We have heard Mrs. Cuni from UNESCO .	
We have heard Dr. Souza , a great expert in her field . And we are going to hear many , many more .	Měli jsme tady spoustu zajímavých zajímavých projevů a určitě uslyšíme ještě mnoho zajímavějších .
We have ethnologists , culturologists , and representatives of cultural organizations here .	Máme tady kulturology , máme tady archeology , máme tady představitele různých koorganizací .
And while they are all here to talk about something that we don 't normally deal with in our everyday lives , like language extinction or ethnic minority groups in Southeast Asia , I am here , on the other hand , to represent the private business sector .	Většinou tady mluvíme o věcech , které ale každodenně neřešíme . Normálně každý den nemluvíme o etnicích například v jihovýchodní Asii . Nicméně , já tady budu reprezentovat soukromý sektor .
And I think that the organizers knew very well why they invited me .	Organizátoři určitě moc dobře věděli , proč mě pozvali .
You know , we are talking about cultural diversity for dialogue and development today .	Mluvíme o kulturní diverzitě a o dialogu mezi různými kulturami .
And I think that if we really want to develop and change something and perhaps stop some , let 's say , cultural stereotypes , it is not enough just to go to a conference once a year and listen to some speakers about , speaking about groups of people living very far away from us .	Bylo by tedy dobré , kdybychom se opravdu pochopili a kdybychom mohli třeba změnit nějaký stereotyp . Myslím si , že jedna konference račně tomu moc nepomůže .
Even though I 'm not trying to say that it is not important , it is important too . But I think that we shouldn 't just like listen to these things once a year and then go home and continue living like we 're used to .	Nechci říct , že tady ta ( info- ) že tady ta konference není důležitá , ale je třeba brát v potaz , že bychom neměli jen jednou ročně poslouchat o diverzitě , poté se vrátit domů a pokračovat s naším obyčejným životem .
If we really want to change something , we should start with ourselves and with the way we live every day .	Pokud chceme něco změnit , tak bychom měli začít sami se sebou a s naším každodenním životem .
And I can tell you that we still do have a lot to work on .	Mám ještě spoustu věcí , které zlepšit .
As I 've said , I am a business consultant . I help companies introduce greater diversity , and I 'll tell you why they need it .	Jak jsem již řekla , tak já jsem konzultantka v byznysu a já firmám radím s diverzitou . S diverzitou . A proč diverzitu potřebují ?
Business today is increasingly global , and despite the current coronavirus stumble , it 's not likely to change anytime soon .	I když v dnešní době máme koronavirovou krizi , tak pořád spousta věcí zůstává stejných .
I always tell the business owners , if your company 's employees don 't reflect the globalisation trend , and don 't represent cultural diversity , your business may be very much behind the times .	Já vždycky tvrdím firmám : Pokud ve vašich firmách nejsou různí lidé , pokud tam není kulturní diverzita , tak vaše firma může být pěkně pozadu .
	Protože globálně celý svět se stává diverzifikovanějším .
I coach professionals on group effectiveness , and many , many years ago , several of the corporate companies I work with were cookie-cutter examples of uniformity .	Spousta organizací , se kterými pracuji , byly stejné , byly tuctové . A já jsem často s nima podnikala různé workshopy .
I would usually start some workshops with them , and , at one of the first workshops , I would organise in such a uniform company , I would ask everybody in the room what defines a company .	A jeden z prvních workshopů , které jsem organizovala , byl například workshop , ve kterém jsem se ptala každého v té skupině , co definuje jejich firmu .
Of course , people were saying it 's the product the company sells , or it 's the services it offers , or it 's how much money they generate .	Někdo může tvrdit , že to může být produkt , který firma prodává . A nebo například to , jaký mají výnos .
