Tak tedy dobrý den , děkuji za pěkné přivítání .	Vielen Dank für die warme @ Willkommenheißung .
Děkuji za pozvání na toto zajímavou konferenci , kde se rozvídáme mnoho o různých kulturách .	
Já bych se tedy ještě rychle krátce představila , jmenuji se Markéta Planá .	Ich möchte mich vorstellen . Ich heiße Marketa Plana .
Jak již bylo řečeno , působím na univerzitě v Plzni a působím tam jako kulturoložka a etnoložka .	Wie schon gesagt wurde , @ bin ich tätig an der Universität Pilsen als Kulturologin und Ethnologin .
Zabývám se tedy především kulturou Lužických Srbů a lužickosrbskou menšinou v Německu . Jak už tady bylo tedy zmíněno .	Ich befasse mich vor allem mit der Kultur der Sorbern und der soberschen Minderheit in Deutschland , wie schon erwähnt wurde .
Přejdu asi rovnou k tématu , protože máme časové omezení , takže nebudu už úvod protahovat .	Ich komme direkt zum Thema . Wir haben nämlich Zeitbegrenzung , daher werde ich dies nicht aufhalten .
Lužičtí Srbové .	Die Sorben .
Nejsem si ani jistá , jestli všichni účastníci naší konference tuto menšinu znají , protože mnoho čechů o této menšině ani neví .	Ja , ich bin mir nicht sicher , ob alle unsere Teilnehmer diese @ Minderheit kennen , weil viele Tschechen kennen diese Minderheit nicht .
Kdo jsou tedy Lužičtí Srbové a kde se vzali ?	Wer ist das ? Also die Sorben .
Lužičtí Srbové jsou malý západoslovanský národ a tento národ obývá jihovýchodní část východního Německa . Tato část Německa obývaná tímto národem se nazývá Lužice .	Es ist kleine westslo- kleinen westslamische Slavien . Es es besiedelt Südostteil des Ostdeutschlands und @ dieser Ort wird Lausitz genannt .
Je to opravdu jedinečná kultura , ale menšinová .	
A jak už bývá u menšinových kultur zvykem , pozvolna slábne .	Wie schon bei den Minderheiten Gewohnheit ist , wird diese immer kleiner .
To však neznamená , že si nezaslouží naší pozornost . Tento- Ještě ke všemu je tento národ nám čechům , já tady vím , že tady máme spoustu zahraničních hostů na této konferenci . Ale přesto budu odkazovat občas na nás Čechy , protože jsou to v podstatě naši příbuzní .	Trotzdem ist sie bemerkenswert . @ Viele Tschechen , ich weiß , dass wir hier natürlich auch internationale Gäste haben , trotzdem werde ich hinweisen auf uns Tschechen , weil Sorben uns @ verwandt sind , @ ethnisch .
Tento národ je nám historicky zkrátka blízký .	
Jedná se také o slovany , kteří mluví slovanským jazykem , což je i čeština .	Es handelt sich um Slawen , die in einer slawischen Sprache sprechen , die auch Tschechisch .
Lužice , jak už jsem tedy zmínila , tu to je ta oblast , kde oni bydlí nebo kde se vyskytují , jsou dvě .	Lausitz , das ist das Gebiet , wo sie wohnen , wo sie leben , @ wird auf zwei Teilen geteilt .
Máme Horní Lužici , ta se nachází blíže k České republice a leží v Sasku , Tedy na území Německa ve spolkové zemi Sasko . A hlavním centrem Horní Lužice je město Budišín . Německy se toto město nazývá Bautzen .	In Sachsen , in der Nähe von Tschechien , gibt es Oberlausitz und @ die Hauptstadt ist Bautzen , auf Tschechisch Budyšín .
A druhá Lužice je Dolní Lužice .	Und dann der zweite Teil heißt Niederlausitz .
