Tak tedy dobrý den , děkuji za pěkné přivítání .	Thank you very much for having me .
Děkuji za pozvání na toto zajímavou konferenci , kde se rozvídáme mnoho o různých kulturách .	
Já bych se tedy ještě rychle krátce představila , jmenuji se Markéta Planá .	My name is Markéta Planá .
Jak již bylo řečeno , působím na univerzitě v Plzni a působím tam jako kulturoložka a etnoložka .	I work at the Pilsen University , the University of West Bohemia , and I 'm a culturologist .
Zabývám se tedy především kulturou Lužických Srbů a lužickosrbskou menšinou v Německu .	I am interested in the culture of Sorbs and their minority .
Jak už tady bylo tedy zmíněno .	
Přejdu asi rovnou k tématu , protože máme časové omezení , takže nebudu už úvod protahovat .	I will start talking about the topic directly . So let me get to the topic .
Lužičtí Srbové .	The Sorbs .
Nejsem si ani jistá , jestli všichni účastníci naší konference tuto menšinu znají , protože mnoho čechů o této menšině ani neví .	I 'm not even sure if all of the attendees of today 's conference know about this minority .
Kdo jsou tedy Lužičtí Srbové a kde se vzali ?	So who are they and where did they come from ?
Lužičtí Srbové jsou malý západoslovanský národ a tento národ obývá jihovýchodní část východního Německa .	The Sorbs are a tiny West Slavic nation and they live in the eastern part of Germany .
Tato část Německa obývaná tímto národem se nazývá Lužice .	This part of Germany is called Lusatia .
Je to opravdu jedinečná kultura , ale menšinová .	It is a very unique culture and it is a minority .
A jak už bývá u menšinových kultur zvykem , pozvolna slábne .	And as it is common with minorities , it is still getting smaller and smaller .
To však neznamená , že si nezaslouží naší pozornost .	
Tento- Ještě ke všemu je tento národ nám čechům , já tady vím , že tady máme spoustu zahraničních hostů na této konferenci . Ale přesto budu odkazovat občas na nás Čechy , protože jsou to v podstatě naši příbuzní . Tento národ je nám historicky zkrátka blízký .	I know that there are many international guests at this conference today , but I would like to talk about Czechs a lot today because the nation of Sorbs is historically very close to Czechs .
Jedná se také o slovany , kteří mluví slovanským jazykem , což je i čeština .	Serbs are also Slavic and they also speak a Slavic language , which of course the Czech language is as well .
