Pro mě byla zatím velice zajímavá , takže se budu snažit mluvit také zajímavě .	So this conference has been interesting for me . And I will try to be interesting as well .
Nejprve bych chtěla zmínit a představit Chartu rozmanitosti a zmíním také něco o její historii . Přitom také vysvětlím cíli této Charty .	First , I would like to introduce you to the Charter of Diversity . I will mention its history as well and the aims of this charter too .
Jsme také v době pandemie velice aktivní .	We are active in the times of the pandemic as well .
Poskytujeme také spolupráci online .	We also provide online consulting .
Takže ještě ke své maličkosti . Já jsem Aleta Grefin von Hardenberg a jsem vedoucí týmu Charty rozmanitosti .	So I am Aletta Gräfin von Hardenburg , as you have already heard . And I am head of the Charter of Diversity team .
Co to vůbec je naše Charta rozmanitosti ?	So what is our charter ?
Jedná se o podnikatelskou iniciativu , která má podpořit rozmanitost v podnicích a v institucích .	It 's a business initiative to support diversity in businesses and institutions .
Přes- V současné době podepsalo tuto Chartu mnoho podniků .	Currently , the charter has the signatures of many businesses .
Ale , ale- Všichni se k nám přidává další a další .	And more still want to join the charter as well .
Jsme největší sítí pro takzvanou diversity nebo pro rozmanitost .	We are the largest diversity network .
V tom takzvané diversity nevidíme jenom kapitál dnešní ekonomiky , ale vidíme v tom také klíč ke společenské soudržnosti .	And diversity is not just a capital , capital for us , but it also holds the key to societal cohesion .
Charta byla podepsaná v prosinci 2016 , to byly tedy první podpisy , které založili Chartu .	The Charter was signed in December 2016 . That 's when the first signatures were put on the charter .
Zmocněnkyně ministerstva pro migranty , uprchlíky a integraci tenkrát podpořila tuto Chartu .	The Minister of State for Migration , Refugees and Integration supported the charter as well back then .
Podle nás je úplně jedno , jak starý je člověk . Jakého je člověk pohlaví , jaké jakou má sexuální orientaci , nic z toho nehraje roli v v podniku .	In our view , it doesn 't matter how old a person is , what gender a person is , or what sexual preferences they have . None of that has a role to play in a business .
Je jedno , odkud člověk pochází , jaké je národnosti , jakého je náboženství nebo zdá má nějaký handicap .	Your background , your religion , or your handicap .
Rozmanitost , ta nám dává přidanou hodnotu .	Diversity has an added value for us .
Rozmanitost nám zajišťuje rozmanitá řešení . A ukazuje nám to rozmanité trhy .	Diversity allows us to produce diverse solutions and to enter diverse markets .
Také je vhodná pro rozmanité zákazníky .	It is also applicable to diverse customers .
