Pro mě byla zatím velice zajímavá , takže se budu snažit mluvit také zajímavě .	Bien , ya hemos solucionado el problema .
	Gracias .
Nejprve bych chtěla zmínit a představit Chartu rozmanitosti a zmíním také něco o její historii . Přitom také vysvětlím cíli této Charty .	Quiero presentarles la Carta de Diversidad . Y vamos o yo voy a presentarles también la Carta de Diversidad , porque soy la líder del equipo de la Carta de Diversidad .
Jsme také v době pandemie velice aktivní . Poskytujeme také spolupráci online .	Estamos activos durante la pandemia del coronavirus también .
Takže ještě ke své maličkosti . Já jsem Aleta Grefin von Hardenberg a jsem vedoucí týmu Charty rozmanitosti .	Y también @ como ya me han presentado @ , lo repito , me llamo Aletha Graffin von Hardenberg .
Co to vůbec je naše Charta rozmanitosti ?	¿ Y qué es la Carta de la Diversidad ?
Jedná se o podnikatelskou iniciativu , která má podpořit rozmanitost v podnicích a v institucích .	La Carta de la Diversidad es una iniciativa @ de los empresarios que debería apoyar la diversidad en las empresas y los negocios .
Přes- V současné době podepsalo tuto Chartu mnoho podniků .	Hoy en día más de 3.000 compañías ha firmado esta carta .
Ale , ale- Všichni se k nám přidává další a další .	Y hay muchos más que se van uniendo a nuestra iniciativa .
Jsme největší sítí pro takzvanou diversity nebo pro rozmanitost . V tom takzvané diversity nevidíme jenom kapitál dnešní ekonomiky , ale vidíme v tom také klíč ke společenské soudržnosti .	Somos la red más grande para @ para en- en- en muchos aspectos . @ No solo @ lo clave es el capital , sino también la cohesión de la sociedad .
Charta byla podepsaná v prosinci 2016 , to byly tedy první podpisy , které založili Chartu .	La Carta de la Diversidad fue firmada en diciembre del año 2016 . En aquel año , en este mes , se firmaron los primeros documentos .
Zmocněnkyně ministerstva pro migranty , uprchlíky a integraci tenkrát podpořila tuto Chartu .	La delegada del gobierno federal para la migración , los refugiados y la integración mostró su apoyo , entonces , a esta carta . ...
