	Hello , everyone .
Dobrý den a nesmírně vám děkuji za pozvání i za váš úvod .	Thank you very much for invitation and for the introduction .
Jsem moc ráda , že se této konference mohu účastnit .	I am very happy that I can be a part of this conference .
Velice ráda vidím , že je diverzita tak výrazným tématem .	I'm so happy to see that the diversity is such a prominent topic .
Za prvé bych vám chtěla představit naši organizaci .	First , I would like to introduce you our institution .
Jedná se organizaci , která se nazývá Dům světových kultur .	It is an organization that is called World Cultures Institute .
Naše asociace byla zarožena v roce 1982 .	It was founded in 1982 .
Původně ji založil šerif Kaznadar , který je francouzsko-syrským básníkem .	It was founded by Sherif Kaznodar , who is a French-Serbian , Syrian poet .
V současné době je stále předsedou naší asociace , a to i přes jeho vysoký věk .	
Sídlíme v Paříži . Cílem naší asociace je podporovat kulturní výměnu a diverzitu . A to jsme mezi všemi národy světa .	The organization is seated in Paris and the aim is to support cultural diversity among all nations of the world .
Kulturně se jí podporujeme dál tak , aby se rozširovala do všech koutů světa .	We also try to inform about diversity so that it is expanded all around the world .
Čím dál tím více se zajímáme o některé specifičtější věci .	We are more and more interested in some more specific issues .
V rámci- V současné době se naše organizace nejvíce ( zajímá ) kulturním dědictvím .	Currently , our organization is most interested in intangible cultural heritage .
Kulturní dědictví je velmi často založené na písmu a předmětech jako takových .	The culture , any culture , is often based on writings and very material things .
Dovolte mi nyní , abych vám představila aktivité naší instituce .	Now I would like to introduce our organization .
Operujeme v nejrůznějších oblastech .	We operate in different areas .
Zaprvé představujeme různá divadelní představení . Máme to velké štěstí , že máme divadelní sál , ve kterém můžeme představovat právě různá divadelní nebo taneční představení a podobné věci .	First , we promote theatre plays , we are very lucky to have a stage of our own to present these pieces of art .
Každý rok také organizujeme velký festival .	
Jedná se o festival Neskutečno .	
Poprvé se odehrál v roce 1997 a od té doby se každý rok odehrává v Paříži .	The first play took place in 1896 and takes place every year .
Tento festival poskytuje náhled na nejrůznější kultury světa .	
Prezentujeme na něm nejen tradiční kulturní díla , ale také současná kulturní díla a nové umění .	
Na tomto festivalu spolupracujeme s celou řadou dalších organizací a muzeí .	We present many plays at the festival .
Dovolala bych si zmínit několik z nich , které možná znáte . Jedná se například o Institut arabského světa , o Peru Bastý , anebo o muzeum na nábřeží Bráni .	I would like to mention also other institute that are partnered with us , for example Opera Basque and also other Paris institutes .
To se konkrétně věnuje exotickým uměním .	
V rámci tohoto festivalu představujeme nejrůznější umělecká představení . Účastní se toho totiž umělci z celých , ze všech částí světa .	During our festival we present many artistic forms and the participants are the artists from all around the world .
Za ty roky , co náš festival funguje , se nám totiž podařilo vytvořit poměrně širokou síť pracovníků .	During the many years that we run this festival , we have managed to create a wide network of workers .
A už víme také , na koho se obrátit . Díky tomu opravdu představujeme kvalitní umění .	We also know who to turn to , thanks to which we are ready to present quality pieces .
A jak už jsem zmiňovala , představujeme jak umění tradiční , tak umění zcela nové .	
To je totiž také významnou součástí kulturní diverzity .	It is also very , a very important part of cultural diversity .
Jak jsem se již zmiňovala , tento festival byl vytvořen před několika desítkami let a odehrává se v Paříži .	As I have mentioned , our festival was started a few years ago and is organized in Paris .
V současnosti už se ale týká prakticky celé Francie .	But currently , it concerns all France .
Festivalu se totiž účastní celá řada institucí i mimo Paříž .	
Kromě představení nabízíme také různé místa a příležitosti pro reflexy , protože organizujeme konference a výstavy .	Besides the performances , the festival offers also some places for reflection because we offer also exhibitions .
Kromě organizace tohoto festivalu ovšem , máme i několik dalších úkolů .	And besides organizing this festival , we of course do also other events .
Zaprvé se soustředíme na vzdělávání a také výzkum , který naše instituce provádí .	First , we focus on education .
Před několika lety jsme ve spolupráci ( uří- ) s pařížskou univerzitou měli možnost se soustředit na oblast antropologie .	A few years ago , we cooperated with the Paris University and we focused on ethnosinology .
A to konkrétně na etnoscénologii .	
Jedná se o zcela novou antropologickou disciplínu . Tato disciplína se zabývá rituály v jednotlivých kulturách .	This is a new anthropologist's discipline which contains rituals in different cultures .
Zabývá se také hodnotovými žebříčky .	It also concerns values of different cultures .
My se snažíme tuto doménu zkoumat a přinášet nějaké výsledky .	We try to explore this domain and we try to explain it to a wider public .
Před několika lety jsme také vytvořili francouzské centrum nehmotného kulturního dědictví .	We have also founded Center for Intangible Cultural Heritage .
Toto centrum se nachází ve Francii v Bretani . A jedná se o nesmírně velké dokumentární centrum , ve kterém může najít nejrůznější uměleckou tvorbu z celého světa .	This center is located in France , and it is a huge documentary center where you can find artistic pieces from all around the world .
Většina z této tvorby je v současnosti přístupná online .	Most of this art is available online .
Dále také nabízíme celou řadu vzdělávacích kurzů .	We also offer a lot of education programs .
Snažíme se totiž propojit nemateriální kulturní dědictví a umělce jako takové .	We try to connect the intangible and the artists themselves .
Celá řada osob totiž neví , jak pracovat s nemateriálním kulturním dědictvím a jak ho zapojit do aktivní kultury . Snažíme se o tom tedy dostatečně informovat .	Many people don't know how to work with intangible cultural heritage and how to make it a part of , of everyday cultural life .
Snažíme se také pomáhat jiným uměleckým programům a aktivitám .	We also try to help other culture programs .
Nabízíme například profesionální konzultace . Pokud chcete třeba zorganizovat vlastní festival . A nebo naplánovat nějaký kurz ve školách .	We offer professional consultancy if you wish to organize your own festival , for example , or if you want to plan a school course .
Naši experti nám pomohou vám vymyslet , na jakou část kultury se soustředit a jak takovou akci zorganizovat .	Our experts will help to decide which sphere of culture you should be focusing on .
Nemusí vždy jít o tak velké akci , jako je festival , ale klidně o menší akci .	It doesn't have to be such a huge event like a festival . It can be a much smaller event .
