Dobrý den a nesmírně vám děkuji za pozvání i za váš úvod .	Hello and thank you for having me .
Jsem moc ráda , že se této konference mohu účastnit . Velice ráda vidím , že je diverzita tak výrazným tématem .	I 'm very happy that diversity is such an important topic that so many people talk about .
Za prvé bych vám chtěla představit naši organizaci .	First , I would like to introduce my institution .
Jedná se organizaci , která se nazývá Dům světových kultur . Naše asociace byla zarožena v roce 1982 .	My institution is called the House of World Cultures it was established in 1982 .
Původně ji založil šerif Kaznadar , který je francouzsko-syrským básníkem .	Originally it was established by Sheriff Kazmodar , who is a poet .
V současné době je stále předsedou naší asociace , a to i přes jeho vysoký věk . Sídlíme v Paříži .	He is still the president of our association , even though despite his high age , and the institution is based in Paris .
Cílem naší asociace je podporovat kulturní výměnu a diverzitu . A to jsme mezi všemi národy světa .	Its goal are , is promotion of diversity and culture among all the nations of the world .
Kulturně se jí podporujeme dál tak , aby se rozširovala do všech koutů světa .	We also try to inform on diversity so that it 's spread all over the world .
Čím dál tím více se zajímáme o některé specifičtější věci .	But we also focus on more specific issues too .
V rámci- V současné době se naše organizace nejvíce ( zajímá ) kulturním dědictvím .	Our organization currently deals with the intangible cultural heritage .
Kulturní dědictví je velmi často založené na písmu a předmětech jako takových .	For example , Europeans , because as opposed to Europeans whose heritage is based on , for example , written documents and other monuments .
Dovolte mi nyní , abych vám představila aktivité naší instituce . Operujeme v nejrůznějších oblastech . Zaprvé představujeme různá divadelní představení .	So what we do is that we , that we for example , present different theatrical performance , performances .
Máme to velké štěstí , že máme divadelní sál , ve kterém můžeme představovat právě různá divadelní nebo taneční představení a podobné věci .	We are very lucky to have premises , several kinds of premises where we can present dance shows and theatrical performances .
Každý rok také organizujeme velký festival . Jedná se o festival Neskutečno . Poprvé se odehrál v roce 1997 a od té doby se každý rok odehrává v Paříži .	We also have a festival that was celebrated for the first year in 1997 , and since then it 's freq- , it 's regularly repeated .
Tento festival poskytuje náhled na nejrůznější kultury světa .	
Prezentujeme na něm nejen tradiční kulturní díla , ale také současná kulturní díla a nové umění .	It 's , it takes place in Paris , and we present there contemporary arts , but also French art .
Na tomto festivalu spolupracujeme s celou řadou dalších organizací a muzeí . Dovolala bych si zmínit několik z nich , které možná znáte . Jedná se například o Institut arabského světa , o Peru Bastý , anebo o muzeum na nábřeží Bráni .	We organize , we cooperate with many different organizations , for example the Arab World Institute , the Opera Bastille or Quai Branly Museum during this festival .
To se konkrétně věnuje exotickým uměním .	
V rámci tohoto festivalu představujeme nejrůznější umělecká představení . Účastní se toho totiž umělci z celých , ze všech částí světa .	At the festival we present different artistic performances and we have participants , artists from all over the world .
Za ty roky , co náš festival funguje , se nám totiž podařilo vytvořit poměrně širokou síť pracovníků . A už víme také , na koho se obrátit .	During the time that the festival is , has been organized , we 've managed to create a wide net of co-organizers and collaborators .
Díky tomu opravdu představujeme kvalitní umění .	
A jak už jsem zmiňovala , představujeme jak umění tradiční , tak umění zcela nové .	And as I 've said , we present traditional art as well as modern art .
To je totiž také významnou součástí kulturní diverzity .	Because this also forms an important part of cultural diversity .
Jak jsem se již zmiňovala , tento festival byl vytvořen před několika desítkami let a odehrává se v Paříži . V současnosti už se ale týká prakticky celé Francie . Festivalu se totiž účastní celá řada institucí i mimo Paříž .	The festival was created , was established a few decades ago and it 's held in Paris , but really it 's celebrated all over France because many different institutions from all over France take part in it .
Kromě představení nabízíme také různé místa a příležitosti pro reflexy , protože organizujeme konference a výstavy .	Besides performances , we also offer various spaces and opportunities for reflection , because we organise also exhibitions .
