Perfekt .	S tlumočením do češtiny .
Super . ... Perfekt . Also kann ich @ jetzt mit dem Beitrag anfangen ? ...	Doufám , že nyní jsem slyšet , omlouvám se za zpoždění , najednou se to mně zaseklo a budeme nyní moc začít .
Super , also noch einmal einen herzlichen Dank an die Organisation . @ Ich bin sehr froh , dass ich die erste Rednerin bin in dieser Diskussionsrunde , die über Antiziganismus sprechen darf und ich versuche , sie mit diesem Thema ein bisschen vertrauter zu machen . @ So , Meine Damen und Herren , ich heiße Lydia Horvath .	Měla bych nyní být slyšet . Takže ještě jednou vám srdečně děkuju za organizaci této konference . Jsem velmi ráda , že jsem první řečnice , která bude mluvit o anticikanismu . Budu se snažit se vás seznámit s tímto tématem .
	Dámy a pánové .
Wie gesagt , ich bin die politische Referentin des Zentralrates Deutscher Sinti und Roma .	Jmenuji se Laura Hollwatt a jak už bylo řečeno jsem politickou referentkou Německé centrální rady Romů a Sintů .
Zuerst werde ich über den Begriff Antiziganismus sprechen , über seine Geschichte @ und dann führe ich konkrete Beispiele aus dem Alltag ein .	Na začátku budu mluvit o pojmu anticikanismus , o jeho dějinách . A pak budu mluvit o konkrétních příkladech z každodenního života .
Zuletzt schildere ich auch ein paar mögliche Szenarien und Lösungen der heutigen Situation .	Také zmíním některá možná řešení či scenárie , které by v budoucnosti ten problém mohly překonat .
Jetzt allerdings , was ist es nur der Antiziganismus ?	Na začátku , co je vlastně anticikanismus ?
Vielleicht manche von Ihnen haben den Begriff schon gehört , manche nicht . @ Antiziganismus ist eine spezifische Form des Rassismus , die sich gegen Angehörige der Roma-Minderheiten in ganz Europa richtet .	Někdy jste možná na tento pojem už narazili . Je to specifická forma zášťě vůči menšině Romů v Evropě .
Dieser Fachbegriff beschreibt all die Stereotypen , Abneigungen , Feindschaft und alle diese Einstellungskomplexe gegenüber Roma , Sinti und auch anderen Personen und Gruppen , die von der Mehrheitsgesellschaft als Zigeuner stigmatisiert werden .	Podpisuje všechny typy nevraživosti a odmítnutí . Tedy veškeré komplexy , které se týkají Romů . Může se to ovšem týkat veškerých osob , které se ve společnosti považují za cikány .
Es kann sich um eine gesellschaftliche und staatliche Ausgrenzung handeln , aber auch um Verfolgung , Vertreibung , Pogrom und so weiter .	Může to tedy být pronásledování , ale také nejrůznější vyčlenění ze společnosti či vyhánění .
Die Geschichte des Antiziganismus schreibt sich seit dem 15.Jahrhundert.	Tento fenomén existuje již od 15. století .
Damals wurden die Sinti und Roma in dem Heiligen Römischen Reich für vogelfrei erklärt .	Ve svaté Římské říši se například opakovaně docházelo k tomu , že byly romové zbavení právní ochrany .
Das heißt , wenn sie geflüchtet oder sogar getötet wurden , dann @ wurde der Täter nicht bestraft .	A pak už nikdo nebyl potrestán za to , že někoho , kdo byl Rom , zabil .
Ein @ Jahrhundert später , also in dem 16. Jahrhundert , wurden die Roma dann auch aus Frankreich und England vertrieben .	Později byly romové vyháněny také z Francie i ( Anglie ) z Francie a z Anglie .
Antiziganistische Maßnahmen ziehen sich bis zu der Weimarer Republik hin , durch die ganze Geschichte . Und als als , Entschuldigen , alldies hat seinen Gipfel in der NS-Zeit gefunden .	Vidíme to vlastně v celých dějinách až do dob ( ? ? ? ) republiky . Vrcholem anticikanismu ale máme v době nacizmu .
Seit 1937 wurden die in Deutschland lebenden Roma und Sinti nach ihren Genealogien erfasst . Und ihre körperlichen Eigenschaften wurden vermessen .	Od roku 1937 byly Romové a Sintové v Německu zaznamenáváni ohledně jejich schopností .
Am echten- 8.Dezember 1938 erklärte Himmler die sogenannte Bekämpfung der Zigeunerlage .	Himmler také pro- prohlásil boj proti takzvané cikánské metue .
Danach wurden die Roma zum Opfer von Razzien und Zwangssterilisation . Danach folgte die Massentötung in den Vernichtungslagern .	Poté tedy se Romové také stály obětmi různých vynucených stabilizací a následovali tedy jejich masové zabíjení ve vyhlazovacích táborech .
Hier möchte ich eine Bemerkung machen .	Zde bych chtěla něco podotknout .
Ich höre immer wieder , dass hier in Tschechien die Roma-Verfolgung klein geredet wird .	Často si všímám , že v Čechách se pronásledování Romů spíš zmenšuje .
Und das vor allem hinsichtlich des Konzentrationslagers Lety .	
