Muy buenas tardes , ¿ se me oye ?	Dobrý den , doufám , že mě všichni slyšíte .
Supongo que sí , entonces empiezo .	Předpokládám , že ano . Výborně , začneme .
La Unión Europea , en el momento de su fundación hace tres décadas , puso en su centro el compromiso con proteger la dignidad humana y la igualdad de trato .	Evropská unie v době svého založení před skoro 30 lety do svých základů zakotvila snahu bránit . Bránit lidskou důstojnost a také zakotvila zásadu rovného zacházení .
	Nicméně , jak podotkla Helena Dalí , komisařka pro rovné příležitosti , tak se snažila v minulých dnech vyzvat členy Evropské unie .
Para cumplir con este compromiso , sin embargo , hay que abrir un debate necesario sobre una forma específica de racismo con largas raíces @ a lo largo de la historia cuya espina sigue clavada en el corazón del presente .	Aby udělaly všechno proto , aby romská komunita se nestala obětním beránkem současné pandemie koronaviru .
En el caso de España , tan pronto como se declaró el estado de alarma , el gobierno reconoció la situación de vulnerabilidad que afectaba a una parte significativa de la población gitana vinculada a la desigualdad estructural que ya existía antes de la pandemia .	Ve Španělsku totiž v té době , kdy byl vyhlášen výjimečný stav , tak okamžitě to vedlo samozřejmě k sociálním nerovnostem a ke ještě větší zranitelnosti už tak celkem zranitelných skupin společnosti . Vláda si byla vědoma toho , že Romové už v době před pandemii patřili ke zranitelné skupině .
De hecho , el gobierno mapeó casi mil barrios , en su mayo- en su mayoría habitados por las personas gitanas , que tenían índices de pobreza o hasta extrema pobreza .	Vláda proto provedla průzkum a zjistila , že přibližně tisíc čtvrtí , ve velké většině tyto čtvrti jsou obývané romskou menšinou , se vyznačují chudobou a nebo až extrémní chudobou .
En consecuencia , se hizo un plan para garantizar los ingresos básicos , así como el suministro de alimentos , agua , gas y electricidad a las familias necesitadas .	V souvislosti s tímto zjištěním se vláda rozhodla poskytnout této skupině minimální příjmy a také dodávky potravin , vody , plynu , elektřiny .
Sin embargo , las medidas sociales y económicas , aunque sean necesarias , aunque son necesaria , necesarias , no son suficientes si no @ protegen los derechos de las personas gitanas en estos tiempos que corren . Desde el comienzo de la pandemia hemos denunciado en repetidas ocasiones el uso del lenguaje racista que retrataba a las comu- a las comunidades gitanas como una amenaza para la salud pública .	Nicméně tyto sociálně-ekonomické aspekty jsou potřebné , ale nejsou dostatečné na ochranu práv romské menšiny v souč- současné době . protože už od počátku pandemie federace jako je Ketane nebo Romská unie opakovaně upozorňují na to , že se vyskytují jazykové urážky romské komunity , které často označují Romy jako za lidi nebezpečné všeobecnému zdraví .
Yo , personalmente me , a mí personalmente me ha conmocionado el nivel de odio @ propagado por los medios influyentes donde se insultaba , ridiculizada y difamada a las difamaba a las comunidades gitanas .	Já sám jsem byl velice pobouřen tím , co jsem si přečetla v novinách , jak i velké noviny haněly a očerňovaly romské obyvatelstvo .
También es sorprendente ver casos de grandes medios de comunicación que piden el uso de violencia policial o militar contra los barrios gitanos .	Přišlo mi také velice zajímavé , že určitá velká média chtějí , aby policie a a vojáci zasahovali silou proti romské menšině .
