Moc děkuji za pozvání .	Merci de votre invitation .
A já dnes pohovořím právě o organizaci D-Test , o její minulosti , snad i budoucnosti . A doufám , že přinesu náhled nejenom tedy , když už jsme slyšeli ten francouzský , tak ale i český . D-Test je největší česká spotřebitelská organizace .	Aujourd' hui , je vais parler de dTest , de l' histoire , de son futur , et j' espère que vou- je vais vous donner le point de vue tchèque . dTest est le plus grand organisme de protection des consommateurs .
Zaožen byl v roce 1992 .	Il a été fondé en 1992 .
Ale zpočátku to byl pouze měsíčník , který vydával testy výrobků a služeb .	Tout au début , c' était une re- revue qui publiait des tests des produits et des services .
Nicméně v roce 2010 jsme přidali také tu poradnu pro spotřebitele .	Ensuite , l' on a rajouté les services de conseil .
No a v roce 2018 jsem se ředitelkou stala já .	Ensuite , en 2011 , je suis devenu la directrice .
Já jsem měla hlavní cíl a to , aby nás veřejnost nevnímala pouze jako nějaký časopis s testy , ale aby nás vnímala jako ochránce spotřebitelů .	Mon but principal , c' était de changer l' image auprès du public . Non seulement une revue , mais aussi un organisme qui protège les consommateurs .
Chtěla jsem se zaměřit na mladou generaci , na jejich potřeby , na aspekt udržitelnosti a životního prostředí .	Je voulais me concentrer sur la jeunesse , la durabilité de l' environnement et d' autres aspects .
A také samozřejmě se zasazujeme o světu veřejnosti . Zasazujeme se o legislativu .	Nous essayons aussi de renseigner le public en ce qui concerne la législation .
A celkově naším cílem je ochránit spotřebitele .	Le but général , c' est de défendre les consommateurs .
Pojďme se tedy podívat , jak toho dosahujeme v oblasti těch čtyř základních spotřebitelských práv , které definoval právě Kennedy , jak už dnes zaznělo .	Donc , je vous vous présenter les activités principales dans le cadre des droits fondamentaux de du consommateur , définis déjà par John Fitzgerald Che- Kennedy .
První právo je tedy právo na bezpečnost výrobků a služeb .	Tout d' abord , c' est le droit à la sécurité .
Zde asi všichni si dokáží představit , co děláme v této oblasti , protože D-test dlouhodobě provádí nezávislé testy výrobků .	Vous êtes capable d' imaginer quelles sont les activités . Donc , on publie des tests indépendants des produits .
Toho se nám daří dosahovat díky tomu , že opravdu jsme nezávislí .	L' on peut faire cela grâce à notre indépendance .
Naše finance pochází pouze od předplatitelů . A také z menší části z veřejných financí .	Nous sommes financés seulement par nos abonnés et une part des finances publiques .
My nejsme závislí na inzerci a proto můžeme zaručit , že naše testy jsou opravdu nestranné .	On ne pas on n' a pas de publicité , donc l' on peut vraiment déclarer que nos tests sont tout à fait indépendants .
Za druhé zde máme právo na informace .	Ensuite , c' est le droit à l' information .
Bohužel musím říct po konzultaci s našimi právníky a zároveň i s tím , co vidím kolem sebe , že bohužel v České republice spotřebitelé svá práva příliš neznají .	Malheureusement , je dois dire qu' après des consultations avec nos notre service légal , les consommateurs en Tchéquie ne sont pas au courant de leurs droits .
Právě proto se snažíme dělat osvětu a zároveň jsme spustili dvě služby .	Donc , on peut sensibiliser le public et on a lancé quelques campagnes .
Jak už jste zmínila , tak zaprvé je to spotřebitelská poradna .	Tout d' abord , c' est le service de conseils .
Zde se na nás mohou spotřebitelé obracet , to buď telefonicky anebo e-mailem a opravdu je to bezplatné .	Les consommateurs peuvent demander des conseils en ligne par mail ou par , ou nous appeler .
Také za důležité považují ale založení webové stránky www.vaše-stížnosti.cz.	Ensuite , nous avons créé le site web vasestiznosti.cz.
Zde se spotřebitelé mohou obracet se stížnostmi .	Il est possible de soumettre les plaintes en ligne .
A my , pokud jsou tedy podložené , tak ním přidáme naše právní stanovisko a většinou se podaří ten spor urovnat mimo soudní cestou .	Si c' est possible , l' on peut donner notre avis légal . Et souvent , il est possible de résoudre le conflit ou le liti- le dispute sans litige .
Protože samotní podnikatele nechtějí samozřejmě se poškodit svoji pověst a většinou tomu zákazníkovi vyhoví .	
Třetí právo je právo na výběr .	Le troisième droit , c' est le droit de choisir .
V poslední době se zde zaměřujeme hlavně na spotřebitelské recenze .	Récemment , nous nous sommes concentrés sur les avis consommateurs .
Chceme , a to je samozřejmě zakotveno i v té novele , aby byly označovány , pokud jsou , aby byly ověřovány , aby se nestávalo to , že jsou zaplaceny pozitivní recenze .	Nous voulons ... que les produits soient marqués que les avis sont marqués pour ne pas ... pour ne pas correspondre à ce droit .
A aby tak tedy nebylo narušeno právo volby tímto vlivem .	
No a za čtvrté zde máme právo být vyslyšen .	Et le dernier droit , c' est le droit d' être entendu .
To se týká samozřejmě především reklamací .	
Zde napomáhá náš tým právníků . Zároveň na našich stránkách můžete najít databázi advokátů , na které se jakožto spotřebitelé můžete obrátit .	L' on a un service légal qui est disponible , en plus , sur notre site web , vous pouvez trouver une base de données de nos avocats que vous pouvez contacter .
Dále pokud ale vznikne nějaký všeobecný problém . Nějaké všeobecné porušení pravidel ze strany toho podnikatele , tak samozřejmě toto právo zajišťuje také možnost nahlásit takovou skutečnost dozorovému orgánu .	En plus , s' il y a un problème général , par exemple , les règles ont été violées de la part de l' entreprise , vous pouvez vous adresser à l' autorité de contrôle .
A ten má poté prostředky na toto napravit .	
Zároveň naše organizace má takový podcast , já ho moderuji , a jmenuje se Třicítka D-testu .	En plus , notre organisme publie un podcast . C' est ce qu' on appelle la trentaine de déteste .
Já jsem tam měla hosta , Petra Schmelhause , což je jeden z našich hlavních advokátů .	J' ai parlé avec Petr Šmelhaus , qui est à la tête du service légal de notre organisme .
A on mi vyprávěl velmi zajímavé věci z minulosti .	Il a raconté des histoires de son propre expérience .
Tak jsem si říkala , že bych vám také řekla něco málo třeba o středověku . Protože i tehdy samozřejmě byla nějaká spotřebitelská práva , i když ne v takové podobě jako dnes .	Donc , je voudrais aussi parler du Moyen Âge , parce que dans cette époque-là , il y avait également des lois et des droits des consommateurs .
I tehdy byli spotřebitelé často šizení .	Souvent , on trompait les consommateurs .
Jednalo se třeba o podměrné housky , máslo nastavované lojem , nebo to , že uhynulí lososi byli obarvování krví ryb .	Les brioches étaient plus petites . Il y avait des substances , d' autres substances dans du beurre et d' autres .
To byly takové typické problémy toho středověkého spotřebitele .	Donc c' était les problèmes principaux du consommateur médiéval .
Ale nebyl v tom úplně sám .	
Byla určitá městská práva , která byla vymáhána .	Et en plus , il y avait quelques droits qu' il était possible d' exiger .
