Bonjour à tous , je suis @ ravie de pouvoir de pouvoir avoir été invitée à cette conférence .	Dobrý den všem , jsem moc ráda , že dnes tady mohu s vámi být na této konferenci .
Alors , je ne suis pas une experte en transport , je ne suis pas une experte en urbanisme , mais j' espère vous apporter ici quelques informations sur une espérience concrète et un mode de @ transport qui est de plus en plus utilisé @ en France .	Nejsem úplně odbornicí na dopravu ani na územní plánování . Ale doufám , že vám představím důležité a zajímavé informace o konkrétním způsobu jednoho jedného prostředku , který se stále více používá ve Francii .
Alors , je vais parler du @ ramassage @ scolaire .	Budu mluvit o školní dopravě .
Le ramassage scolaire , c' est @ le transport qui concerne donc les trajets entre la maison et @ l' école pour les @ élèves .	Školní doprava používá jeden jednu danou trasu a vyzvedává tedy školáky , veze je do školy .
Il comprend donc une ligne de ramassage , des arrêts avec des horaires .	Používá jízdní řád .
Mais @ pour notre ligne de bus @ notre ligne de ramassage scolaire , pardon , pédibus . Et bien , nous n' avons pas d' moteur , nous n' avons pas d' bus , nous n' avons pas de chauffeur puisqu' il s' agit , comme vous l' a annoncé , d' un ramassage scolaire à @ pied et ce sont des parents bénévoles qui encadrent ce @ trajet , ce @ pédibus .	Má daný jízdní řád a v našem případě , když mluvíme o pedibusu , o pěšibusu , tak nemáme žádný autobus , nemáme řidiče . Ale jak jste slyšeli , je to opravdu školní doprava pěšky . Většinou jsou to dobrovolníci z řad rodičů , kteří doprovázejí děti na jejich pěší cestě do školy .
Alors , @ tout simplement , les choses se @ passent de la manière suivante , savoir qu' on a un point de départ à une heure précise , un traché- un trajet qui est fixé à @ l' avance , donc en fait une ligne qui est déterminée , et différents arrêts le long de cette ligne où les enfants peuvent rejoindre ce @ pédibus jusqu' à son arrivée à @ l' école .	Děje se to následujícím způsobem . Máme bod odjezdu , který je v daný čas. Máme danou trasu , která se určí předem . A po cestě jsou různé zastávky na této lince . Děti se můžou na těchto zastávkách přidávat do pěšibusu , až přijdou do školy .
Cette idée de pédibus est née au Danemark dans les années 70 et @ à l' origine en fait elle a été créée pour des questions de sécurité en fait , pour rendre le trajet des écoles de la maison à les le trajet des élèves , pardon , de @ la maison à à l' école pour que ce trajet soit @ sûr .	Tato myšlenka vznikla už v 70. letech v Dánsku . A tehdy to bylo z bezpečnostních důvodů . To , aby cesta do školy pro školáky byla bezpečnější . To znamená jejich cesta z domova do školy .
En France , cette forme de @ ramassage scolaire existe depuis les années 2000 , elle s' est largement développée de depuis .	Ve Francii se tato doprava používá hlavně od roku 2000 a hodně se rozšířila .
Aujourd' hui , on compte à peu près 800 @ lignes de @ pédibus et il y a différentes associations qui @ soutiennent et développent justement ce concept de ramassage .	Dnes existuje asi 800 linek pěšibusů . Jsou různé spolky , které podporují tuto dopravu a dále jí prohlubují tento koncept .
Quels sont les avantages de ce @ pédibus ?	A jaké jsou výhody ?
Et ben , il y en a @ beaucoup .	Je jich hodně .
Très nombreux , par rapport à ce qu' on pourrait @ penser au départ .	Možná víc , než bychom si na začátku mohli myslet .
Tout d' abord , c' est un transport qui est @ sain .	Zaprvé je to doprava , která je jednoduchá .
La marche n' a jamais fait de mal à qui que ce soit , donc un p' tit peu de marche tous les jours , ça ne fait pas de mal .	Nikomu chození pěšky nevadí , takže nikoho to nebolí .
Les trajets en général de ce pédibus durent de 5 à 20 minutes maximum .	Většinou to trvá 5 až 20 minut maximálně .
Et @ je pense que c' est une bonne chose que @ d' habituer les enfants à une activité physique régulière , quotidienne , et ils en auront certainement besoin . S' ils sont habitués petits , en aur certainement besoin par la suite .	A myslím si , že je dobré , že děti si zvykají na nějakou fyzickou aktivitu , která je pravidelná , která je denně , na denní bázi .
Bien évidemment , @ cette @ ... Ce transport @ scolaire est écologique , puisqu' on n' utilise pas de moteur , on va @ à pied .	Samozřejmě tato doprava je ekologická , protože nepoužíváme žádné motory . Chodí se pěšky .
Il faut savoir qu' en France , il y a un pourcentage très élevé de parents qui accompagnent leurs enfants en voiture .	Musíme si říct , že ve Francii je mnoho rodičů , kteří vozí děti do školy .
Et et d' ailleurs , souvent , ce sont pour des tout petits trajets de moins d' un kilomètre .	A je to přitom na velice malé vzdálenosti . Míň než kilometr .
Et @ on sait que ce sont ces petits trajets qui sont les plus polluants .	A přitom ty nejvíce znečišťují .
Et cela aussi permet également de ne pas @ réquisitionner des places immenses pour les stationnements autour des écoles .	A díky tomu je také možné snížit počet míst , které jsou potřeba k parkování okolo škol .
Je l' ai évoqué en début quand djai mentionné l' origine de ce de ces @ pédibus . Bien évidemment , il y a une question sécuritaire ici , puisque les enflants ont @ entre- @ prennent un trajet qui est @ fixé à l' avance .	Já jsem mluvila o začátcích toho pěšibusu , samozřejmě to je ta bezpečnostní otázka , jak jsem říkala . Děti , které jdou po určité trase , která je předem daná .
Ce trajet , même suivant les communes , peut être signalé pour les automobilistes . Et bien sûr , on a la présente d' adultes qui encadrent les @ enfants et donc qui sont @ présents et qui surveillent le @ le trajet .	To znamená , že ona může být nějakým způsobem označena v té obci . A řidiči potom vědí , že tamtudy prochází právě tento pěšibus .
Il y a aussi un aspect @ éducatif puisque les enfants lors de ce trajet à pied apprennent les règles de sécurité , ils apprennent à se déplacer en ville , ils apprennent à reconnaître les @ panneaux .	Dále je to určitý vzdělávací aspekt , protože děti se naučí určitým bezpečnostním pravidlům . Vědí , jak se pohybovat po městě , učí se dopravní značky .
Et j' ajouterai non seulement en plus de cède éducation @ routière une éducation générale , à savoir qu' ils apprennent à connaître leur quartier , ils apprennent à connaître la vie de leur quartier et ce qui s' y @ déroule . Enfin , associé à v- cette vite quartier , on peut @ ajouter un aspect @ convivial puisqu' il se crée des liens .	A je to vlastně všeobecné vzdělávání , protože děti se naučí poznávat vůbec svoji čtvrť . Život v té čtvrti , kde bydlejí atd. A dále můžeme přidat to , že to celé probíhá v takové veselé atmosféře , protože jdou společně s ostatními dětmi .
Entre les enfants qui vont ensemble à l' école , il se crée des liens entre les parents bénévoles qui encadrent ce trajet et puis ça fait une activité en @ commun , quelque chose où on peut partager effectivement un moment ensemble .	Navíc i vzniknou různá propojení mezi rodiči . A je to taková společná aktivita , kterou všichni mu mohou sdílet v daný moment .
À cela , on pourrait dire que ce pédibus , finalement , est économique , pratique et @ simple .	A navíc pěšibus je určitě ekonomický , jednoduchý a velice praktický .
Alors , comment lancer un @ pédibus ?	Jak spustit novou linku pěšibusu ?
D' après les différentes @ expériences que j' ai pu entende , ou même à par rapport à notre propre expérience , en général , il faut à peu près trois semaines pour lancer une ligne de pédibus .	Podle toho , jak jsem viděla , vlastně i podle vlastních zkušeností , v podstatě stačí tak tři týdny , aby člověk spustil novou linku .
Et si votre ligne tient deux mois , on peut dire qu' elle a été @ créée avec @ sécurité et qu' elle pourra fonctionner pendant plusieurs années .	Od od té doby , kdy se o to začne zajímat , je potřeba , aby tam byla zajištěna všechna bezpečnostní pravidla .
Le plus difficile , souvent , ce n' est pas de convaincre les enfants . Les enfants , en général , sont partants pour ce jaure @ d' activité .	Samozřejmě není potřeba přemlouvat děti , protože většinou chtějí se účastnit .
Alors , je vous conseille plusieurs étapes si vous souhaitez lancer une ligne Pédibus .	Já vám řeknu , co je všechno potřeba .
D' abord , vous pouvez vous renseigner .	Je potřeba se informovat .
Il y a plusieurs associations qui @ présentent , soit sur internet , soit @ qui peuvent participer directement à une présentation @ orale pour @ expliquer comment leur ligne de pédibus @ fonctionne , qui peuvent vous expliquer la marche à suivre , les ex- échanger des @ expériences , quel est le processus qu' ils ont utilisé pour mettre en place cette @ ligne @ de transport @ scolaire .	Existuje více rozpolků , které na svých webových stránkách představuji . Jakým způsobem je možné vytvořit pěšibus a jak fungují ty jednotlivé linky . Jsou tam popisovány různé všechny kroky , které potřeba učinit , jak to všechno funguje , jak zavést zkrátka nové liníky této školní přepravy .
Je vous conseille aussi de contacter la mairie de votre @ commune . La mairie peut parfois apporter une aide utile .	Taky je dobré se obrátit na radnici ve vaší obci , protože ona může třeba finančně podpořit i ten váš projekt .
Elle peut , par exemple , soutenir financièrement le projet en fournissant des vestes fluorescentes à à tous les enfants ou aux accompagnateurs .	Může dodat reflexní vesty všem dětem a také těm , kteří je doprovázejí .
Elle peut obteni- elle peut @ fournir aussi un soutien @ logistique , par exemple aider dans le choix du @ trajet .	Dále také radnice může pomoct logisticky , protože může pomoci s výběrem té trasy .
Elle peut ajouter certains panneaux de signalisation pour justement signe- prése- prévenir les automobilistes que le pédibus passe par @ cette @ rue ou par ce cet endroit .	Může přidat určité dopravní značky na různá místa v obci , aby řidiči věděli , že tamtudy právě ta trasa bude projíždět nebo procházet .
Et puis , @ certaines communes s' engagent même plus directement , puisqu' il est arrivé à plusieurs reprises que ce ne soient pas des @ parents qui encadrent le pédibus , mais que ce soient des animateurs de la ville qui soient chargés justement de cet encadrement .	Některé obce dokonce se angažují přímo . Často totiž jsou to nejenom rodiče , kteří doprovázejí děti , ale často jsou to právě i lidé třeba přímo z obce .
Bien sûr , il faut prendre contact avec l' école , avec les associations de @ parents @ d' élèves .	Dále je potřeba být v kontaktu se školem , se školami a také s různými školními spolky rodičů .
Il faut prendre contact aussi avec d' autres associations de la ville , par exemple les associations qui sont en charge de la sécurité routière , de l' environnement .	Dále to můžou být různé spolky , které se zabývají bezpečností na silnici a tak dále .
Et @ bien évidemment , @ l' école est @ l' élément un des éléments les plus @ importants puisque c' est par l' école que va @ se @ qu' on va apprendre , savoir que ces lignes de @ pédibus existent .	Jeden z nejdůležitějších aspektů je škola , protože skrze školu se žáci dozvědí , že existují vůbec tyhle linky . Takže škola je opravdu důležitá .
Pour terminer , j' voudrais juste vous donner quelques @ retours d' expérience en vous parlant plus précisément des @ ramassages pédibus que nous avons dans notre école .	Vám dám teďka trošku svoji vlastní zkušenost , představím .
Alors nous avons une école @ primaire @ où @ ont été mises en place trois lignes de @ pédibus et c' est une association qui gère donc le @ les trois trajets , qui gère les @ équipements et qui gère aussi le roulement des parents bénévoles qui accompagnent les @ élèves .	My máme základní školu , kde jsme zavedli tři linky a máme spolek , který se stará o tyto tři linky a který zajišťuje rodiče , který se střídají a doprovázejí děti .
Nos lignes de pédibus fonctionnent depuis @ cinq ans . C' est environ un tiers des élèves de l' école qui utilisent ces @ lignes .	Ty linky už fungují pět let a zhruba třetina žáků školy je využívá .
Et pour le moment , nous n' avons pas eu de problèmes , pas eu de @ plaintes .	Žádné problémy jsme zatím nezaznamenali . Nebyly ani žádné stížnosti .
Et pourtant , vous savez que les Français sont souvent @ rapides à @ protester et à trouver que quelque chose ne @ va pas .	A vy víte , že ve Francii často francouzi protestují velice rychle , když něco nefunguje , takže vypadá to dobře .
Les automobilstes de notre commune connaissent le les lignes Pédibus , ils sont habitués justement , ils connaissent ces parcours .	Řidiči v té obci znají ty trasy , takže oni vědí , kudy procházejí .
Les commerçants connaissent également les groupes d' enfants qui @ passent devant leur @ boutique , parfois même ils ont des @ cadeaux à l' intention de ces @ enfants .	Také obchodníci vědí , kudy procházejí děti před jejich obchody . Často jim dávají různé dárky .
Bref , on peut dire qu' aujourd' hui ces lignes de pédibus font partie de notre commune , elles sont de réelles institutions , elles sont devenues évidentes et @ si la marche à pied devient une évidence dans certaines communes , on peut dire que nous avons réussi notre pari . J' vous remercie .	A dá se říct , že v podstatě tyto tři linky jsou opravdu součástí našeho života v obci . Vědí o nich všichni . Pokud se v obci dá říct , že se zpopularizovalo chození pěšky , tak můžeme říct , že jsme byli úspěšní .
