Dobrý den , budu ještě sdílet obrazovku se svojí prezentací . Všichni vidíte ?	Bonjour , je vais partager mon écran . Est-ce que vous voyez la l' écran avec ma présentation ?
Doufám , že ano .	J' espère que c' est visible .
Ještě jednou dobré odpoledne . Jmenuji se Heather Simmons a pracuji jakožto výzkumnice v Asociaci porodního traumatu .	Bojoung bonjour , encore une fois , je m' appelle Heather Simmons . Je travaille comme une rechercheur ... de l' Association du traumatisme de l' accouchement ...
Chceme poskytovat zdroje a podporu rodičům , kteří zažili traumatické zážitky z porodu .	Nous voulons offrir des ressources et le soutien aux parents qui ont vécu une expérience tlaumatique liée à l' accouchement ...
Je pro mě opravdu skvělou zkušeností a tím , že můžu nyní tedy promluvit .	S- pour moi c' est une bonne expérience et je suis ravie que je puisse partager mon témoignage aujourd' hui .
Nejprve bych asi měla vysvětlit , co to je porodní trauma .	D' abord je dois e- expliquer ce que c' est le traumatisme de l' accouchement .
Porodní trauma je taková kratší fráze , která popisuje posttraumatickou stresovou poruchu , která nastává po porodu .	Le traumatisme de l' accouchement est une phrase qui décrit le trouble de stress post-traumatique après l' accouchement .
Jsou to lidé , kteří mají některé symptomy PTSD , ale nemají jich dostatek , aby měli tu celkovou diagnozu potvrzenou .	Il s' agit des personnes qui ont des symptômes @ de du trouble de stress post-traumatique , mais il n' y en a pas suffisamment pour confirmer le diagnostic du trouble de stress post-traumatique .
Mnoho lidí si myslí , že to je porucha , kterou trpí jen vojáci , kteří bojovali a tak dále , ale není to pravda . Může tím trpět kdokoliv , kdo prožil nějakou traumatickou událost . Například pokud byl přítomný u autonehody nebo například pohlavně zneužíván .	Beaucoup de personnes pensent qu' il s' agit d' un trouble ... qui est fréquence pour les soldats qui ont fait l' expérience d' une bataille , mais ... une personne quiconque peut souffrir de ce trouble , par exemple , si elle a fait expérience d' un accident routier ou d' une violence sexuelle .
Mohou to být také osoby , které byly svědky nějaké traumatické události . Například lidé , kteří byly svědky vraždy .	Ou bien les personnes qui ont été victimes de traumatismes comme , par exemple , une assassinat un assassinat .
To znamená , že dokonce i ty porodní asistentky mohou poté trpět PTSD kvůli nějakým traumatickým porodům .	C' est-à-dire que ces personnes peuvent souffrir du TSPT à cause des expériences traumatiques liées à l' accouchement .
