Dobrý den všem .	
	... dafür , dass es ein bisschen gedauert hat .
Moc se omlouvám , ale nové technologie nemám moc v lásce .	Ich konnte leider die Verbindung nicht eher herstellen .
A necítím se moc pohodlně v tomto momentu , ale doufám , že bude všechno v pořádku , že mě slyšíte .	
Mockrát děkuji za pozvání .	
Je pro mě velkou ctí , že zde mohu vystoupit na této konferenci .	Es ist mir eine große Ehrd- Ehre , hier bei der Konferenz dabei zu sein .
Jmenuji se Lilia Fernández Sousa a jsem z Mexika .	
Pracuji na Yucatánské univerzitě jako archeoložka .	Ich bin aus Mexiko und arbeite an der Universität Yucatan als Anthropologin .
Zaměřuji se na klasické období majské kultury .	Ich forsche vor allem zum Thema der klassischen Kulturen und der klassischen Periode .
Proto bych ráda hovořila o majské kultuře a také o majském písmu .	Hauptsächlich beschäftige ich mich also mit der Kultur der Mayas und mit deren Schrift .
Tématem naší konference je kulturní rozmanitost . Toto téma se tedy velice hodí .	Das Thema unserer Konferenz ist Vielfalt und Vielfalt passt auch sehr gut zu meinem Beitrag .
Všichni víme , že abychom mohli poznat kulturu , musíme ji také rozumět . A může se zdát velmi těžkým úkolem porozumět kultuře , která je velmi odlišná od té naší . Nyní si ale představme , že jsme archeologové a chceme poznat nějakou starou kulturu .	Um Erkenntnisse zu betrachten , müssen wir immer auch vielfältige Positionen einnehmen . Die Kultur der damaligen Völker war nämlich sehr anders von der ganz anders als die , die u- wir heute haben .
To jediné , co k dispozici máme , jsou fyzické předměty , jako třeba keramika nebo kosti .	Das einzige , was wir allerdings bei der Forschung zur Verfügung haben , sind physische Gegenstände , zum Beispiel Knochen oder Keramik .
A jenom na základě toho musíme vytvořit historii této kultury .	Aufgrund dieser Gegenstände müssen wir also die Kultur und die Geschichte dieser Kulturen rekonstruieren .
Téměř nemožné , že ?	
My archeologové jsme opravdu luštitelé .	Als Anthropologen und Archäologen sind wir da also wirklich Rätsellöser .
Někteří si to připouští a někteří ne . Co je ale velmi frustrující je , že nějaká kultura má písmo , které je nerozluštitelné a nerozluštěné .	Was dabei sehr frust- frustrierend sein kann , ist , dass manche Kulturen eine Schrift haben , die sich nicht entziffern lässt . Oder eine Schrift , die noch nicht entziffert wurde .
To se stalo archeologům na přelomu 19. a 20. století s majským písmem .	Das trifft auch auf die Schrift der Mayas , zu die bis ins 20. Jahrhundert hinein nicht entziffert wurde .
Archeologové , kteří se touto kulturou zabývali , nebyli schopni číst jejich písmo .	Das bedeutet , dass die Forscher lange Zeit nicht in der Lage waren , ihre Schrift zu lesen .
