Thank you , thank you very much .	
Good afternoon , ladies and gentlemen .	Dobrý den , dámy a pánové .
It is a great honor for me to be here today among all the amazing speakers .	Je pro mě velkou ctí zde být a účastnit se této konference s těmito vynikajícími řečníky .
My name is Carolina Salgi , and I 'm a professor of global affairs at Wake Forest University .	Jmenuji se Karolina Selče a jsem profesorka mezinárodních vztahů na Wake Forest University .
And at the same time , I am a freelance business consultant .	Zároveň jsem také konzultantka rozvoje podnikání na volné noze .
You might be asking , how do I fit here in today 's program ?	Možná se ptáte , co tu vlastně dělám .
We have heard Mrs. Cuni from UNESCO .	Už jsme se , už tu promlouvala paní Cuny z UNESCA .
We have heard Dr. Souza , a great expert in her field . And we are going to hear many , many more .	Jsou tu velcí odborníci a ještě jich mnoho uslyšíme .
We have ethnologists , culturologists , and representatives of cultural organizations here .	Jsou tu kulturologové , zástupci kulturních organizací a mnoho dalších lidí .
And while they are all here to talk about something that we don 't normally deal with in our everyday lives , like language extinction or ethnic minority groups in Southeast Asia , I am here , on the other hand , to represent the private business sector .	Tito všichni lidé budou mluvit o něčem , s čím se normálně nesetkáme . Například smrt jazyků nebo etnické o etnických skupinách v Asii . Tak já tu jsem na druhou stranu za soukromý sektor .
And I think that the organizers knew very well why they invited me .	A organizátoři asi vědí moc dobře , proč mě sem pozvali .
You know , we are talking about cultural diversity for dialogue and development today .	Bavíme se tu o kulturní rozmanitosti pro dialog a rozvoj .
And I think that if we really want to develop and change something and perhaps stop some , let 's say , cultural stereotypes , it is not enough just to go to a conference once a year and listen to some speakers about , speaking about groups of people living very far away from us .	Myslím si , že pokud se skutečně chceme rozvinout a a zrušit kulturní stereotypy , nestačí jednou za rok jít na konferenci , poslouchat projevy o skupinách lidí , které žijí velmi daleko .
Even though I 'm not trying to say that it is not important , it is important too .	Nesnažím se říct , že to není důležité , ono to je důležité .
But I think that we shouldn 't just like listen to these things once a year and then go home and continue living like we 're used to .	Myslím ale , že bychom tohle neměli poslouchat jen jednou ročně a pak jít zase domů a žít tak , jak jsme zvyklí .
If we really want to change something , we should start with ourselves and with the way we live every day .	Pokud něco skutečně chceme změnit , měli bychom začít u sebe . Měli bychom začít u našeho každodenního života .
And I can tell you that we still do have a lot to work on .	Můžu vám říct , že ještě je před námi hodně práce .
As I 've said , I am a business consultant .	Říkala jsem , že jsem konzultantka pro podnikání .
I help companies introduce greater diversity , and I 'll tell you why they need it .	Pomáhám společnostem zavádět rozmanitost a říkám jim , proč ji potřebují .
Business today is increasingly global , and despite the current coronavirus stumble , it 's not likely to change anytime soon .	Dnešní společnost je čím dál více globální . A to se nezmění navzdory koronaviru .
I always tell the business owners , if your company 's employees don 't reflect the globalisation trend , and don 't represent cultural diversity , your business may be very much behind the times .	Podnikatelům vždy říkám , pokud vaše společnosti nereflektují trend globalizace a kulturní rozmanitosti , váš podnik může být zpátečnický .
I coach professionals on group effectiveness , and many , many years ago , several of the corporate companies I work with were cookie-cutter examples of uniformity .	Trénuji profesionály . A před mnoha , mnoha lety jsem pracovala se společnostmi , které byly naprosto tuctovými příklady konformity .
