Vielen Dank für die Wortübergabe .	
Ich hoffe , Sie hören mich gut .	
Ich hab einen neuen Kopfhörer gekauft .	
Ich hoffe , es klappt alles @ ganz gut . @ Ich hab @ schon gehört , dass meine Vorrednerin von der Wake Forest University hat sich auch mit dem Thema Vielfalt am Arbeitsplatz befasst hatte .	
Das freut mich sehr .	
Ich werde mit diesem Thema fortsetzen .	
Gut , also @ ich bin zuerst sehr dankbar , dass ich die Einladung zugeschickt bekommen habe .	
Das ist eine große Ehre für mich . @ Die Konferenz war bisher sehr spannend , muss ich sagen . Ich bemühe mich also in dieser @ Tendenz auch @ fortzusetzen .	Pro mě byla zatím velice zajímavá , takže se budu snažit mluvit také zajímavě .
Anfangs stelle ich die Charta der Vielfalt und erwähne ein paar Informationen zu ihrem Ursprung und Geschichte .	Nejprve bych chtěla zmínit a představit Chartu rozmanitosti a zmíním také něco o její historii .
Dabei erkläre ich ihre Ziele und Tätigkeiten unseres Vereins .	Přitom také vysvětlím cíli této Charty .
Wir sind nämlich auch in der Zeit der Pandemie sehr aktiv und bieten viele Möglichkeiten zur Zusammenarbeit online an .	Jsme také v době pandemie velice aktivní . Poskytujeme také spolupráci online .
Also noch zu meiner Kleinigkeit .	Takže ještě ke své maličkosti .
Ich heiße , wie gesagt , Aleta Krevin von Hardenberg und bin Geschäftsführerin der Geschäftsstelle Charta der Vielfalt .	Já jsem Aleta Grefin von Hardenberg a jsem vedoucí týmu Charty rozmanitosti .
Was ist das eigentlich , die Charta der Vielfalt ?	Co to vůbec je naše Charta rozmanitosti ?
Es handelt sich um eine Unternehmeninitiative zur Förderung der Vielfalt in Unternehmen und Institutionen .	Jedná se o podnikatelskou iniciativu , která má podpořit rozmanitost v podnicích a v institucích .
Inzwischen haben über 3.100 Unternehmen und Institutionen die Charta der Vielfalt unterzeichnet .	Přes- V současné době podepsalo tuto Chartu mnoho podniků .
Diese Unternehmen haben 13 Millionen Beschäftigten derzeit .	
Wir bekommen aber auch laufend neue Anfragen .	Ale , ale- Všichni se k nám přidává další a další .
Ich möchte sagen , @ dass wir das größte Netzwerk für Diversity und eine lebendige Plattform für das Thema Vielfalt sind .	Jsme největší sítí pro takzvanou diversity nebo pro rozmanitost .
Wir sehen in Diversity nicht nur das Kapital der heutigen Wirtschaft , sondern auch einen Schlüssel zum gesellschaftlichen Zusammenhalt .	V tom takzvané diversity nevidíme jenom kapitál dnešní ekonomiky , ale vidíme v tom také klíč ke společenské soudržnosti .
Die Charta wurde im Dezember 2016 von vier Unternehmen ins Leben gerufen .	Charta byla podepsaná v prosinci 2016 , to byly tedy první podpisy , které založili Chartu .
Und wird von der Beauftragten der Bundesregierung für Migration , Flüchtlinge und Integration , der Staatsministerin Annette Widmann-Maus , unterstützt .	Zmocněnkyně ministerstva pro migranty , uprchlíky a integraci tenkrát podpořila tuto Chartu .
Falls Sie interessiert ssiert , wer unsere Stimmherrin ist , ist das die Bundeskanzlerin Dr. Angela Merkel selbst . @ Unsere Meinung nach ist ganz gleich , welches Alter , welches Geschlecht , welche sexuelle Orientierung und Identität die Mitarbeiter und Mitarbeiterinnen in das Unternehmen mitbringen , egal woher sie kommen , welche Nationalität , Religion oder Weltanschauung sie haben oder ob sie eine Behinderung haben .	Podle nás je úplně jedno , jak starý je člověk . Jakého je člověk pohlaví , jaké jakou má sexuální orientaci , nic z toho nehraje roli v v podniku . Je jedno , odkud člověk pochází , jaké je národnosti , jakého je náboženství nebo zdá má nějaký handicap .
Vielfalt schafft mehr Werte . Diversity wirkt nach innen und nach außen .	Rozmanitost , ta nám dává přidanou hodnotu .
Vielfalt sorgt für vielfältige Lösungen , erschließt vielfältige Märkte . Und begeistert vielfältige Kunden für ein zukunftsfähiges Unternehmen .	Rozmanitost nám zajišťuje rozmanitá řešení . A ukazuje nám to rozmanité trhy . Také je vhodná pro rozmanité zákazníky .
