Dobrý den a nesmírně vám děkuji za pozvání i za váš úvod .	Buenos días , muchas gracias por la invitación y la bienvenida .
Jsem moc ráda , že se této konference mohu účastnit .	Es un placer formar parte de esta conferencia .
Velice ráda vidím , že je diverzita tak výrazným tématem .	Veo con mucho agrado que la diversidad es un tema muy caliente .
Za prvé bych vám chtěla představit naši organizaci .	En el primer lugar , me gustaría presentarles nuestra organización .
Jedná se organizaci , která se nazývá Dům světových kultur .	Se trata de la organización llamada Casa de las Culturales Mundiales .
Naše asociace byla zarožena v roce 1982 .	La organización fue fundada en el 1982 .
Původně ji založil šerif Kaznadar , který je francouzsko-syrským básníkem .	Originalmente , la fundó Cherif Kazmada , que es un poeta austríaco .
V současné době je stále předsedou naší asociace , a to i přes jeho vysoký věk .	Sigue siendo el @ presidente de nuestra organización a pesar de su alta edad .
Sídlíme v Paříži . Cílem naší asociace je podporovat kulturní výměnu a diverzitu .	Nuestro objetivo es promover la diversidad y el intercambio cur- cultural . ...
A to jsme mezi všemi národy světa .	
Kulturně se jí podporujeme dál tak , aby se rozširovala do všech koutů světa .	
	Tenemos el pro- problema técnico , no se escucha ...
Čím dál tím více se zajímáme o některé specifičtější věci .	Mucho más nos interesamos en algunos aspectos más concretos .
V rámci- V současné době se naše organizace nejvíce ( zajímá ) kulturním dědictvím .	Actualmente , nuestra organización se centra en el patrimonio inmaterial . ...
Kulturní dědictví je velmi často založené na písmu a předmětech jako takových .	Es verdad que la cultura europea se basa muchas veces en la escritura .
Dovolte mi nyní , abych vám představila aktivité naší instituce .	Me gustaría presentarles algunas actividades de nuestra institución .
Operujeme v nejrůznějších oblastech .	Estamos operando en distintas , en distintos ámbitos .
Zaprvé představujeme různá divadelní představení .	Primero , realizamos las representaciones teatrales .
Máme to velké štěstí , že máme divadelní sál , ve kterém můžeme představovat právě různá divadelní nebo taneční představení a podobné věci .	Tenemos la suerte de poseer una sala teatral trea- teatral en la que podemos organizar las representaciones .
Každý rok také organizujeme velký festival . Jedná se o festival Neskutečno .	Asimismo , cada año organizamos el festival @ llamado Festival Imaginario .
Poprvé se odehrál v roce 1997 a od té doby se každý rok odehrává v Paříži .	Este festival ... se celebró por la primera vez en el 1997 y desde entonces se celebra cada año en París .
Tento festival poskytuje náhled na nejrůznější kultury světa .	Ese festival propone distinta visión de las culturales en el mundo .
Prezentujeme na něm nejen tradiční kulturní díla , ale také současná kulturní díla a nové umění . Na tomto festivalu spolupracujeme s celou řadou dalších organizací a muzeí .	Representamos las obras antiguas de las culturas , pero también el arte moderno y actual , cooperamos con distintas organizaciones y sociedades .
Dovolala bych si zmínit několik z nich , které možná znáte .	Voy a mencionar algunas de ellas .
Jedná se například o Institut arabského světa , o Peru Bastý , anebo o muzeum na nábřeží Bráni . To se konkrétně věnuje exotickým uměním .	Se trata , por ejemplo , del Instituto del Mundo Árabe , el Museo del Muelle Brandley , o la Ópera de la Bastila , que se centra sobre todo en el arte exótico .
V rámci tohoto festivalu představujeme nejrůznější umělecká představení . Účastní se toho totiž umělci z celých , ze všech částí světa .	Dentro de este festival mostramos y ofrecemos a al público distintas obras teatrales de todas partes del mundo .
Za ty roky , co náš festival funguje , se nám totiž podařilo vytvořit poměrně širokou síť pracovníků . A už víme také , na koho se obrátit . Díky tomu opravdu představujeme kvalitní umění .	A lo largo de los años hemos logrado crear una red muy amplia de los participantes . ... y ya sabemos con quién contactar , así que representamos un arte de la alta calidad .
A jak už jsem zmiňovala , představujeme jak umění tradiční , tak umění zcela nové . To je totiž také významnou součástí kulturní diverzity .	Y como he mencionado , promovemos la mezcla del arte antiguo y alto moderno , porque esa es otra parte de la diversidad cultural .
Jak jsem se již zmiňovala , tento festival byl vytvořen před několika desítkami let a odehrává se v Paříži . V současnosti už se ale týká prakticky celé Francie . Festivalu se totiž účastní celá řada institucí i mimo Paříž .	Como ya he mencionado , el festival se fundó desde varias decenas y @ tiene lugar en París , pero prácticamente el festival se lleva a cabo por toda Francia gracias a la cooperación con distintas sociedades y e instituciones .
Kromě představení nabízíme také různé místa a příležitosti pro reflexy , protože organizujeme konference a výstavy .	Aparte de las representaciones teatrales , ofrecemos también distintos eventos para la re- reflexión , realizando las exposiciones y exhibiciones .
Kromě organizace tohoto festivalu ovšem , máme i několik dalších úkolů .	Aparte de la organización de este festival , nos ocupamos de otras actividades .
Zaprvé se soustředíme na vzdělávání a také výzkum , který naše instituce provádí .	Primero nos centramos en la educación y en la investigación que lleva a cabo nuestra ins- organización .
Před několika lety jsme ve spolupráci ( uří- ) s pařížskou univerzitou měli možnost se soustředit na oblast antropologie . A to konkrétně na etnoscénologii . Jedná se o zcela novou antropologickou disciplínu .	Hace años hemos cooperado con la Universidad de París y nos hemos centrado en el ámbito de la antropología , concretamente en la etnoescenología , que es una dis- disciplina muy nueva .
Tato disciplína se zabývá rituály v jednotlivých kulturách . Zabývá se také hodnotovými žebříčky .	Esa disciplina se centra en la escala de los valores del ar- del arte .
My se snažíme tuto doménu zkoumat a přinášet nějaké výsledky .	Nosotros intentamos investigar esa ma- materia y conseguir algunas consecuencias .
Před několika lety jsme také vytvořili francouzské centrum nehmotného kulturního dědictví . Toto centrum se nachází ve Francii v Bretani .	Hace poco hemos construido y hemos abierto el Centro Francés del Patrimonio Cultural Inmaterial , que se encuentra en Francia , en Bretaña .
A jedná se o nesmírně velké dokumentární centrum , ve kterém může najít nejrůznější uměleckou tvorbu z celého světa . Většina z této tvorby je v současnosti přístupná online .	Se trata de un centro diverso que cuenta con distintas obras artist- artísticas de todo el mundo y una parte de ese centro está disponible en línea .
Dále také nabízíme celou řadu vzdělávacích kurzů . Snažíme se totiž propojit nemateriální kulturní dědictví a umělce jako takové .	Además , ofrecemos @ una gama de los cursos de calificación porque intentamos relacionar la el patrimonio inmaterial y los artistas .
Celá řada osob totiž neví , jak pracovat s nemateriálním kulturním dědictvím a jak ho zapojit do aktivní kultury . Snažíme se o tom tedy dostatečně informovat .	Muchas personas no saben cómo laborar , lablal , labrar , perdón , con el patrimonio inmaterial , así que intentamos también trabajar con este punto de la cultura .
Snažíme se také pomáhat jiným uměleckým programům a aktivitám .	Nuestro objetivo es ayudar a distintos proyectos y actividades artísticas .
Nabízíme například profesionální konzultace . Pokud chcete třeba zorganizovat vlastní festival . A nebo naplánovat nějaký kurz ve školách .	Ofrecemos el consultorio en el , en caso de organizar algún festival o ofrecemos cursos de educación en las escuelas .
Naši experti nám pomohou vám vymyslet , na jakou část kultury se soustředit a jak takovou akci zorganizovat . Nemusí vždy jít o tak velké akci , jako je festival , ale klidně o menší akci .	Nuestros @ proveemos la asesoría que les puede proveer con la información práctica a la hora de organizar un festival o un evento cultural .
Můžete se tedy informovat o našem know-how , na kterém jsme pracovali v posledních 30 letech .	Así que se pueden informar sobre nuestro know-how en el que hemos trabajado a lo largo de decenas de años .
Dům světových kultur se ale dále soustředí i na jiné aktivity .	La Casa de las Culturas Mundiales se centra luego en otras actividades .
Organizujeme například REVIE , které funguje už od roku 1994 a koná se víceméně jednou za dva roky .	Organizamos ... , por ejemplo , otro evento que tiene lugar en París y se celebra cada año .
Soustředí se hlavně právě na nemateriální kulturní dědictví .	Se trata de un festival centrado en el patrimonio inmaterial .
Nyní mi ještě nakonec dovolte zmínit několik dalších našich hlavních aktivit .	Les voy a mencionar otras actividades .
Před pár lety jsme vytvořili hudební vydavatelství INEDIT .	Hace años hemos fundado la casa discográfica Inedit .
V rámci tohoto hudebního vydavatelství nabízíme celou řadu kolekcí tradiční hudby . Z největší části se jedná o ohroženou hudbu .	Dentro de esta editorial música , ofrecemos una gama de arte musical y sobre todo de la música @ en en peligro , digamos , en vía de extinción .
Dále ale také nabízíme samozřejmě i novou hudební tvorbu a ne pouze tu tradiční . Snažíme se tím o kulturní a diverzní obohacení . Vytváříme taky zvukové archivy , které prakticky neznají hranic , protože obsahují hudební tvorbu ze všech koutů světa .	Es decir , intentamos ... compartir la música no sólo moderna sino también antigua e intentamos crear archivos de la música de todas las partes del mundo .
Veškerou hudební tvorbu doprovázíme popisky , kterou které můžete najít ve francouzštině i v angličtině .	Toda la creación musical cuenta con la descripción en francés y en inglés .
Tyto popisky sepisují odborníci na dané téma .	Esa información se realiza de parte de los especialistas en la música .
Pokud je to potřeba , můžeme nabízet i překlady některých textů písní .	Si se necesita , también ofrecemos las traducciones de @ esas descripciones .
V současné době máme poměrně ohromující sbírku a jsme na ní velmi pyšní .	En el momento actual tenemos un archivo muy amplio .
Doufám , že budete mít příležitost si pustit něco z hudby , kterou sbíráme za poslední desetiletí .	Espero que tengan la oportunidad de escuchar algo de la música recolectada durante @ la última @ decena ... decenas de años .
Dále také doufám , že budete mít příležitost se podívat na některé z představení , které organizujeme . A že vás tento zážitek obohatí . A obohatí i váš přístup ke kulturní diverzitě .	Espero que puedan también ir a ver alguna de nuestras representaciones teatrales y espero que eso les influya en su punto de vista de la diversidad cultural y el patrimonio inmaterial .
Děkuji vám za pozornost a jsem vám k dispozici , pokud byste měli nějaké dotazy .	
Děkuji vám .	Muchas gracias .
	Si tienen preguntas , será de agrado responderlas .
