S tlumočením do češtiny . Doufám , že nyní jsem slyšet , omlouvám se za zpoždění , najednou se to mně zaseklo a budeme nyní moc začít .	Parece que ya podemos empezar con la prestación porque la interpretación hacia checo ya funciona .
Měla bych nyní být slyšet .	Deberían escucharme ya .
Takže ještě jednou vám srdečně děkuju za organizaci této konference .	Muy bien . De nuevo , muchas gracias por la organización de esta conferencia .
Jsem velmi ráda , že jsem první řečnice , která bude mluvit o anticikanismu .	Es de mi agrado ser la primera ponente que hablará sobre el antigitanismo .
Budu se snažit se vás seznámit s tímto tématem .	Me gustaría darles alguna información al respecto .
Dámy a pánové .	
Jmenuji se Laura Hollwatt a jak už bylo řečeno jsem politickou referentkou Německé centrální rady Romů a Sintů .	Me llamo Laura Horvat y soy la responsable política del Consejo Central de los Romaníes Gitanos y los Cinta .
Na začátku budu mluvit o pojmu anticikanismus , o jeho dějinách . A pak budu mluvit o konkrétních příkladech z každodenního života .	Voy a hablar sobre la historia de este étnico y mencionaré algunos casos de la vida corriente de esas personas .
Také zmíním některá možná řešení či scenárie , které by v budoucnosti ten problém mohly překonat .	Voy a presentar algunos aspectos de ... las posibles soluciones de los problemas relevantes a este tema .
Na začátku , co je vlastně anticikanismus ? Někdy jste možná na tento pojem už narazili .	No sé si conocen el término antigitanismo .
Je to specifická forma zášťě vůči menšině Romů v Evropě .	Es aversión es un tipo de aversión hacia los gitanos europeos .
Podpisuje všechny typy nevraživosti a odmítnutí . Tedy veškeré komplexy , které se týkají Romů .	Podemos encontrar distintos tipos de aversión y prejuicios relacionados a la minoría de los gitanos . ...
Může se to ovšem týkat veškerých osob , které se ve společnosti považují za cikány .	¿ A quiénes se les considera a los gitanos ?
Může to tedy být pronásledování , ale také nejrůznější vyčlenění ze společnosti či vyhánění . Tento fenomén existuje již od 15. století .	Esa aversión puede relacionarse con el deseo de excluir esa minoría que existe desde hace varios siglos .
Ve svaté Římské říši se například opakovaně docházelo k tomu , že byly romové zbavení právní ochrany .	En el Sacro Imperio Romano , por ejemplo , ya podemos encontrar esta exclusión de los romanos .
A pak už nikdo nebyl potrestán za to , že někoho , kdo byl Rom , zabil .	
Později byly romové vyháněny také z Francie i ( Anglie ) z Francie a z Anglie .	Los gitanos @ se excluían también en Francia o en España y se intentaba deshacerse fuera del país de esta minoría .
Vidíme to vlastně v celých dějinách až do dob ( ? ? ? ) republiky .	
Vrcholem anticikanismu ale máme v době nacizmu .	La cumbre del antigitanismo lo podemos observar durante la época nazista .
Od roku 1937 byly Romové a Sintové v Německu zaznamenáváni ohledně jejich schopností .	Durante el nazismo en Alemania , los gitanos y los cintas fueron registrados según su origen genérico familiar . ...
Himmler také pro- prohlásil boj proti takzvané cikánské metue .	Además , se llevó a cabo una lucha contra los gitanos . ...
	Hay problemas con la escucha de la interpretación del checo . ...
Poté tedy se Romové také stály obětmi různých vynucených stabilizací a následovali tedy jejich masové zabíjení ve vyhlazovacích táborech .	Los gitanos también eran y fueron matados en los campos de concentración .
Zde bych chtěla něco podotknout .	
Často si všímám , že v Čechách se pronásledování Romů spíš zmenšuje .	Me agrada ver que en la República Checa esta exclusión de los gitanos va disminuyendo . ...
Někteří tvrdí , že se jedná o pracovní tábor pro takové lidi , kteří nechtěli pracovat .	
To například tvrdí Okamura , anebo i premiér Andrej Babiš . Na tomto místě bych chtěla zdůraznit , že osoby , kteří něco takového tvrdí , se mýlí .	No obstante , la historia demuestra y la actualidad también , los políticos checos , por ejemplo , como Tomio Okamura o el primer ministro @ checo , @ demuestran algunas opiniones racistas hacia esa minoría .
V roce 1932 se pracovní tábor Lety stal táborem pro Rómy .	En el año 1932 , el campo gitano en Leti , una un pueblo cercano a la ciudad checa Pisec , fue un campo de trabajo y de exterminio de los gitanos .
Rómové tehdy byly spolu postaveny na stejnou úrovni jako Židé .	Fue en la época cuando los gitanos tenían el mismo perfil como los judíos .
Mnozí z nich tento tábor nepřežili . Další poté byli posláni do táborů Osvětim Přezinka .	Gra- Gran parte de los gitanos enviados a este campo de trabajo o también al campo de concentración Auschwitz murieron .
Pouze 300 osob přežili od 2000 , kteří se v tomto táboře ocitli .	De los 2.000 gitanos , sólo 300 sobrevivieron la @ estancia en este campo gitano .
Nebyl to jedinečný případ na oblasti Čech .	
Bohužel musíme konstatovat , že anticikanismus existuje dodnes .	Debemos asumir que el antigitanismo sigue existiendo hasta hoy día .
Kdo popírá , že pronásledování Židů není totéž jako pronásledování Romů , chce přepsat dějiny .	Quien niega que la persecución de los judíos no es lo mismo que la persecución de los judíos quiere cambiar la historia .
	No es así .
Anticikanismus existuje dodnes . Má nejrůznější formy .	El antigitanismo sigue existiendo , aunque tenga formas distintas .
Já osobně jsem mám německé občanství a vyrůstala jsem v pohraničí Německa .	Yo soy la ciudadana alemana y crecía en la parte de la frontera .
Když mi bylo 12 let , rozhodla se moje rodina , že se přestěhujeme do Německa .	Cuando tenía 15 años , mi familia @ decidió moverse a Alemania .
Bratr se dlouhodobě za svou romskou identitu styděl .	Mi hermano tenía sentía vergüenza por tener el origen gitano .
Když jsme žili v Německu , stalo stalo se nám mnoho zla .	
Když jsme chtěli jít do obchodů , byli jsme kontrolováni . Neustále nás sledovali .	Y porque cuando íbamos a a com- comprar o a algunos lugares públicos , siempre nos controlaban y nos observaban .
Ve škole někteří učitelé semnou jednali jinak než se spolužáky .	Algunos compañeros y algunos profesores de la escuela me trataban de manera distinta de la que trataban a mis compañeros .
A někteří z mých starých přátel romských vědí také , že je mnohem těžší pro nás najít bydlení či dostat přístup do nějakého klubu .	Nuestros cercanos y conocidos saben que es más difícil para nosotros encontrar una vivienda .
V Česku nás mnohokrát urážejí . Ale to ještě není vše .	Por ejemplo , en la República Checa , nos hablan de manera peyorativa , pero eso no es todo .
Stále dochází k různým neonacistickým programům .	Seguimos centrándonos a algunos proyectos antigitanistas .
Vrcholy byly některé demonstrace mimochodem i v Česku v letech 2012 a 2013 . Například stála Česká strana DSSS .	Por ejemplo , en el año 2012 y 2013 ... nos encontramos a algunas denuncias políticas que luchaban contra la minar- minoría gitana .
Zúčastnili se nikoli pouze neonacisté , ale i také běžní občané .	Participaron no solo los neonazistas , sino también los ciudadanos comunes .
Co se týče vzdělovacího systému , tam to vůbec nevypadá lépe .	En cuanto al sistema educativo , la cuestión no es más positiva .
75 % dětí , romských dětí , se učí ve zvláštních školách a to nehledě na jejich schopnostech .	Un 65 % de los niños gitanos aprenden en las escuelas especiales , sin mirar a las a sus cualidades y sus capacidades mentales .
A nyní se dostaneme tedy k možným řešením .	¿ Cuáles podrían ser las soluciones en el futuro ?
V Česku je malá účast dětí , co se týče předškolního vzdělávání .	En la República Checa , la participación de los niños en la educación an- preescolar es bastante baja .
Pouze třetina chodí do školky .	Sólo un tercio de los niños gitanos van a la guardería .
Takže tím začarování kruh už začíná .	Así que ya en este momento empieza el círculo interminable .
Protože děti nejsou podporované . To se poté ukazuje také u nízké kvóty ukončení školy .	Asimismo podemos ver @ un número bastante bajo de los gitanos que terminan la escuela básica .
Pouze čtvrtina romských občanů mají na začátku dvacátých let dokončenou střední školu .	Sólo un cuarta parte de los niños jóvenes @ , de 20 años digamos , termina la escuela primaria y la secundaria , el instituto .
A tím je mnohem těžší najít nějakou práci . A tím spíše , když jsou romové .	Para estas personas es aún más difícil encontrar un trabajo , siendo gitanos y siendo no cualificados .
Co se týče výsledku školského vzdělání , o tom se už ani nedá mluvit .	Sobre la educación universitaria ni se puede hablar . ...
Mnoho učitelů a další si myslí , že romové ve vzdělávacím systému by snížili standardy . Je ovšem dokázané , že tomu tak není .	Muchos profesores y muchos docentes @ creen que los gitanos tienen las mismas oportunidades como los demás , pero nosotros sabemos que no es así .
V současné době mají romové špatné podmínky v učení .	Los romaníes , los gitanos , tienen pocas oportunidades de formar parte del sistema educativo .
Vede to k vyčlenění a k marginalizaci romů .	Nos enfrentamos a la marginalización .
Učitelé s nimi častokrát jednají jinak . Protože od nich nic neočekávají . To tak nesmí být .	Muchas veces ocurre que los profesores no tienen esperanzas en los niños gitanos , pero eso se debe cambiar .
Další důležité řešení představuje inkluzi romských dětí do školek .	Otra solución posible es la inclusión de los niños romanos , romaníes , perdón , en las guarderías .
Jsem ráda , že zde již existují strategie na zavedení takového opatření . v Česku existuje program s názvem Romské děti v českých školách .	Ya existen est- estrategias de cómo llevar a cabo esa inclusión y cómo gestionarla . En la República Checa existe ya el programa llamado Los Niños Gitanos en las escuelas checas .
Tento program vám vřele doporučuji .	Es un proyecto que les recomiendo estudiar o interesarse en él , por ejemplo .
Na konci bych ovšem chtěla říct , že chudoba a vyčlenění , které kterému čelí Romové v celé Evropě , to můžeme překonat pouze tehdy , když i hluboce zakotvené anticikanismus bude překonáno .	Me gustaría decir al final que la pobreza y la exclusión que tienen que enfrentar los gitanos en toda Europa es presente ... y se basa en el antigitanismo contra el cual tenemos que luchar .
Děkuji za pozornost .	Muchas gracias por su atención .
