Dobrý den , doufám , že mě všichni slyšíte . Předpokládám , že ano . Výborně , začneme .	Guten Tag , ich hoffe , Sie hören mich alle . Ich nehme an , dass Sie mich hören . Danke .
Evropská unie v době svého založení před skoro 30 lety do svých základů zakotvila snahu bránit .	Die Europäische Union vor fast 30 Jahren ... verankerte auch noch die Bemühung ... in ihre Grundsteine , die Bemühungen , die menschliche Würde zu schützen .
Bránit lidskou důstojnost a také zakotvila zásadu rovného zacházení .	Außerdem wurde auch das Prinzip der Gleichberechtigung verankert .
Nicméně , jak podotkla Helena Dalí , komisařka pro rovné příležitosti , tak se snažila v minulých dnech vyzvat členy Evropské unie . Aby udělaly všechno proto , aby romská komunita se nestala obětním beránkem současné pandemie koronaviru .	Wie Helen Daly gesagt hat , die Kommissarin für Gleichstellung hat man in den letzten Jahren die Menschen in der EU aufgefordert , dass die ... dass die Menschen , @ die zu der Roma-Bevölkerung gehören , nicht diskriminiert werden .
Ve Španělsku totiž v té době , kdy byl vyhlášen výjimečný stav , tak okamžitě to vedlo samozřejmě k sociálním nerovnostem a ke ještě větší zranitelnosti už tak celkem zranitelných skupin společnosti .	
Vláda si byla vědoma toho , že Romové už v době před pandemii patřili ke zranitelné skupině .	Denn schon vor der Zeit der Coronavirus-Pandemie gehörte die Gruppe diese Gesellschaftsgruppe zu diskriminierten Menschen . ...
Vláda proto provedla průzkum a zjistila , že přibližně tisíc čtvrtí , ve velké většině tyto čtvrti jsou obývané romskou menšinou , se vyznačují chudobou a nebo až extrémní chudobou .	Die Roma-Viertel sind sehr arm . Deswegen hat die Regierung den Roma ... einige Einnahmen ... gegeben , also eine verschiedene Fördermittel .
V souvislosti s tímto zjištěním se vláda rozhodla poskytnout této skupině minimální příjmy a také dodávky potravin , vody , plynu , elektřiny .	
Nicméně tyto sociálně-ekonomické aspekty jsou potřebné , ale nejsou dostatečné na ochranu práv romské menšiny v souč- současné době . protože už od počátku pandemie federace jako je Ketane nebo Romská unie opakovaně upozorňují na to , že se vyskytují jazykové urážky romské komunity , které často označují Romy jako za lidi nebezpečné všeobecnému zdraví .	Aber es reicht nicht , um die Rechte der römischen Minderheit , der Roma-Minderheit zu schützen . ... Es wird nämlich wieder und wieder darauf aufmerksam gemacht , dass die Roma oft @ beleidigt werden , auch wörtlich . Und zwar als Menschen , die andere Menschen die Gesundheit anderer Menschen bedrohen .
Já sám jsem byl velice pobouřen tím , co jsem si přečetla v novinách , jak i velké noviny haněly a očerňovaly romské obyvatelstvo .	Auch große Zeitungen sprachen gegen die Roma-Bevölkerung .
Přišlo mi také velice zajímavé , že určitá velká média chtějí , aby policie a a vojáci zasahovali silou proti romské menšině .	Einige große Medien ... wollen , dass die Polizei und das Militär gegen die Roma-Minderheit mit Gewalt eingesetzt wird .
A tyto výzvy k nenávisti si našly své podhoubí ve společnosti .	Diese Aufforderungen zum Hass sind nun in der Gesellschaft verankert .
A v poslední době se na sociálních sítích vyskytují výzvy k sociálním ( pogromů ) romské komunity .	Und in der letzten Zeit gibt es auf den Sozialnetzwerken Aufforderungen zu Roma-Pogromen .
A to především v případě , že by Romové porušili povinnou sociální izolaci v době pandemie .	Und das im Fall , dass die Roma-Bevölkerung die pflichtige Isolation während der Pandemie unterbrechen würden .
Co se týče anticykanismu , jedná se o formu rasismu .	Bei Antiziganismus geht es um Rassismus .
Je to forma rasismu , která je pevně zakořeněna ve společnosti .	Es geht um Rassismus , das tief in der Gesellschaft verankert ist .
A která je se vyznačuje tím , že probíhá až nezvykle pruce právě v období pandemie nebo v období krize .	Dieser Rassismus verläuft sehr scharf und gerade eben in der Zeit der Pandemie und der Krise .
V této době totiž jsou lidé ve společnosti velice nespokojení , bojí se . A snaží se najít si nějaký terč , na kterém by se vybouřili a na který by svalili vinu .	In dieser Zeit sind nämlich die Menschen in der Gesellschaft sehr unzufrieden , sie haben Angst und sie versuchen , sich ein Ziel zu finden . Ein Ziel , das sie be- beschuldigen können .
A romská komunita je bohužel velmi ( ? ? ? ) terčem .	Und die Roma-Gemeinschaft ist ein einfaches Ziel .
Souvisí to s tím , že bohužel je ve společnosti zakořeněná jakási beztrestnost , co se týče veřejného projevování rasismů proti romské menšíně .	Das hängt damit zusammen , dass in der Gesellschaft leider eine gewisse Straflosigkeit ist , was die Äußerungen von Hassmeinungen betrifft .
Už jsem to řekla na mnoha evropských debatních fórech a opakuju to znovu zde .	Ich habe das schon bei verschiedenen Fora gesagt und ich wiederhole es .
Všechny socioekonomické politiky a nástroje , které vláda aplikuje , k tomu , aby zařídila inkluzi Romů , tak nic z toho nebude fungovat , pokud vláda a společnost nebude bojovat se samotným rasismem a nenávistnými projevy .	Soziowirtschaftliche Instrumente , die die Regierung anwendet , werden nicht funktionieren , falls die Regierung und die Gesellschaft nicht mit dem Rassismus an sich kämpfen wird .
V prosinci tohoto , respektive minulého roku , směrní strategický rámec Evropské unie pro inkluzi Romů se snažil o to , aby ve společnosti dobře zafungoval .	Im Dezember letzten Jahres ... hat der strategische Rahmen zur Roma-Inklusion sich bemüht , dass er gut in der Gesellschaft funk- dass die Inklusion gut in der Gesellschaft funktioniert .
A já jsem si jistý , že z pandemie koronaviru a nemoci COVID-19 se do budoucna ( použ- ) poučíme .	Und ich bin mir sicher , wir werden etwas für die Zukunft aus der Pandemie lernen .
Měli bychom se poučit z toho , co probíhá .	Wir sollten etwas daraus lernen , was verläuft .
Měli bychom vidět , že rasismus je špatný .	Wir sollten sehen , dass Rassismus schlecht ist .
A měli bychom prosazovat v Evropské unii antirasismus a další strategické programy Evropské unie pro inkluzi ( ? ? ? ) obyvatelstva .	Und wir sollten Antirassismus in der EU unterstützen und auch andere strategische Programme der EU für die Roma-Inklusion . ...
Protože inkluze romského obyvatelstva ve společnosti , ve všech sférách společnosti je velice důležitá .	Die Roma-Inklusion sehr wichtig , ist sehr wichtig .
Sice je to běh na dlouhou trať , ale měli bychom dát tomuto cílu velkou prioritu .	Es wird zwar dauern , aber wir sollten dieses diesem Ziel höchste Priorität setzen .
Romské obyvatelstvo si nese určité ( stydma ) stigma .	Die römische , die Roma-Bevölkerung trägt ein gewisses Stigma .
Díky tomuto , lépe řečeno kvůli tomuto stigmatu , mají problém se sehnáním dobré práce , nebo například se sehnáním dobrého bydlení .	Sie können keine gute Arbeit finden , sie können auch keine gute Wohnung finden .
A tato je cílem inkluze , aby se tato situace změnila .	Deswegen ist das Ziel der Inklusion , diese Situation zu verändern .
A je cílem , abychom Romům více důvěřovali .	Und es ist unser Ziel , den Roma mehr zu vertrauen .
My Romům a Romové nám .	Wir den Romas und die Romas uns .
To je hlavní kapital společnosti .	Das ist das Hauptkapital der Gesellschaft .
Důvěra .	Vertrauen .
Různé kampaně , nenávistné kampaně proti romskému obyvatelstvu mají rasistický základ a mají tři hlavní projevy .	Verschiedene Hasskampagnen gegen die röma- Roma-Vervölkerung sind auf Rassismus basiert . Und sie haben drei Hauptcharak- Haupt- @ charakteristiken .
Zaprvé tedy chtějí tyto rasistické nenávistné projevy zničit reputaci celé celé společnosti .	Diese Äußerungen von Hass wollen die Reputation der ganzen Gesellschaft vernichten .
Také chtějí vytvořit společnost založenou na strachu . A nakonec se snaží dosahnout legitimizování sociálního vyloučení .	Sie wollen auch eine Gesellschaft ... bilden , in der soziale Exklusion legitimiert wird .
Anticikanismus není nic nového .	Antiziganismus ist nicht- nichts Neues .
Ani stigma , které si romové nesou , není nic nového .	Auch das Stigma ist nichts Neues .
Dokazují to už celé studie z historie , z genealogie , které našly podobné příklady antisemitismu i v minulých letech .	Es @ das ist schon von vielen Studien @ ... bestätigt worden . Man hatte ähnliche Beispiele von Antiziganismus auch in den vergangenen Jahren gesehen .
Intolerance má velice negativní vliv na naši společnost a přispívá k nevraživosti a nepřátelství ve společnosti .	Intoleranz hat einen schlechten Einfluss auf unsere Gesellschaft . Sie trägt zum Hass und zu Unfreundlichkeit bei .
Španělsko a bohužel tedy se podílí na této situaci v Evropě .	Spanien trägt diese Situation auch bei . ...
Tomu bychom měli zabránit .	Wir könnten das aber stoppen .
Je třeba zabránit tomu , aby ve společnosti se objevovaly nenávistné projevy proti romskému obyvatelstvu .	Wir müssen es stoppen , dass wir Äußerungen von Hass in der Gesellschaft haben gegen die Roma-Bevölkerung .
Protože tyto projevy jsou velice urážlivé , někdy dokonce i násilné . A míří proti romskému obyvatelstvu .	Diese Äußerungen von Hass sind beleidigend , manchmal sogar gewaltsam und sie sind gegen die Roma-Bevölkerung gerichtet .
Směrnice Evropské unie o rasové rovnosti umožňuje členským státům , lépe řečeno v této směrnici , spočívat schopný nástroj , jak situaci řešit .	Die EU-Richtlinie über Rassengleichstellung ermöglicht den Mitgliedstaaten , ein Instrument zu nutzen , wie wir man die Situation lösen kann .
Španělské zákony chrání formálně chrání všechny své obyvatele a také minoritní skupiny .	Die spanischen spanische Gesetze schützen die Bevölkerung und auch die Minderheitsgruppen .
Chrání je před všemi hrozbami . Před zločiny , morální integrity a také před nenávistnými projevy .	Sie schützen die Gruppen vor verschiedenen Bedrohungen und auch vor Äußerungen von Hass .
Je to ochrana , která je zakotvena v trestním zákoníku .	Dieser Schutz ... ist im Strafgesetzbuch verankert .
Už máme teda právní nástroje , jak situaci řešit .	Also es gibt schon rechtliche Instrumente , um die Situation zu lösen .
Ale nyní se musíme zaměřit na politické programy , které by zajistili dodržování těchto zákonů .	Jetzt müssen wir uns aber auf politische Programme konzentrieren , die die Einhaltung dieser Gesetze gewährleisten .
Je třeba zrovnoprávnit romské obyvatelstvo .	
Je to více než jen otázkou společenské prestože , je to otázkou lidské důstojnosti .	Es ist nicht nur Frage von @ gesellschaftlichem Prestige , aber es ist auch eine Frage von der menschlichen Würde .
Existují antirasistické politiky , které zaručují , že romské obyvatelstvo se setká s větším respektem .	Es existieren antirassistische Politiken . ... Diese sollen dazu helfen , dass die Roma-Bevölkerung größeren Respekt hat .
Děkuji .	Vielen Dank .
