	Dobrý den .
Bonjour à tous , je suis ravie d' être là avec vous et de vous présenter justement notre association parce que c' est une association , comme vous l' indiquerez tout à l' heure , qui est assez ancienne et qui a une longue expérience et une longue histoire derrière elle .	Jsem moc rád , že tady s vámi dneska můžu být , abych vám krátce představil naše sdružení . Jak jsme říkali před chvílí , je to sdružení , které už má dlouhou historii a má mnoho zkušeností .
Donc notre association s' appelle Que Choisir , c' est une association de consommateurs .	Naše asociace se jmenuje Cushwasir , což se dá přeložit jako &quot; Co si vybrat &quot; .
Ses objectifs sont très clairs , elle est là pour défendre les consommateurs , pour défendre leurs droits , leurs intérêts , mais elle a aussi une fonction de représentation , c' est-à-dire qu' il lui arrive de représenter des consommateurs dans leur lutte pour défendre leurs intérêts .	Hlavními cíli je hájit spotřebitele a jejich práva . Dalším posláním je také hájit spotřebitele v rámci jejich boje za jejich zájmy .
Elle notre association as- agit aussi plus généralement pour favoriser une consommation responsable et qui est respectueuse des enjeux non seulement sanitaires mais également sociétaux et environnementaux .	Naše sdružení působí obecněji také v oblasti zodpovědnější konzumace . Týká se to jak zdravotnických otázek , tak také otázek z životního prostředí .
Je me permets pour commencer un petit peu de vous donner quelques informations sur la structure même de notre association .	Nejdříve bych vám řekl několik informací o organizační struktuře našeho sdružení .
Notre association donc regroupe un président que je j' ai la chance d' assurer cette fonction .	Máme předsedu . já mám to štěstí , že jsem právě tím předsedou .
Je suis assistée par six personnes bénévoles .	A dále máme šest dobrovolníků .
En plus , nous avons un conseil d' administration et enfin une assemblée générale qui se réunit régulièrement et qui est formée d' environ à peu près un petit peu moins de 300 personnes .	Dále máme statutární orgán , správní radu a členskou schůzi . Ta se koná pravidelně a skládá se z nějakých téměř tři sta členů .
	To jsou tedy členové sdružení .
Ce sont donc des membres de l' association qui sont issus des antennes des associations locales .	Tito členové pochází z místních sdružení , která jsou součástí .
Cette structure n' a rien d' exceptionnel , c' est la structure qu' ont à peu près toutes les associations en France qui sont définies par la loi .	Tato struktura je poměrně běžná , všechna sdružení ve Francii ji mají , je to definované zákonem .
Ce qui est intéressant pour nous , c' est que nous avons donc des antennes sur tout le territoire français et donc Que Choisir en fait regroupe 140 associations locales .	Pro nás je zajímavé , že máme sdružení místní především na francouzském území . Je jich asi sto čtyřicet .
Et ces associations sont formées par des milliers d' adhérents , aujourd' hui , on compte à peu près 150 000 adhérents sur l' ensemble du territoire .	Tato místní sdružení se skládají z tisíců členů . Je jich asi sto padesát tisíc na celém francouzském územi .
Ces associations donc travaillent aux objectifs que j' ai définis tout à l' heure .	Jsou to tedy sdružení , která mají stejné cíle , jak jsem říkal na začátku .
Elles sont là également pour informer , pour conseiller , pour éduquer et bien sûr défendre et représenter les consommateurs .	Informovat , radit zákazníkům , osvěta zákazníkům a také jim dále pomáhat .
Alors , je vous disais en introduction que notre association est ancienne .	Na začátku jsem říkal , že naše sdružení má dlouhou historii .
Effectivement , elle a été créée en 1951 .	Bylo založeno již v roce 1951 .
Donc , vous voyez qu' elle a déjà une certaine plusieurs dizaines d' années derrière elle .	Takže vidíte , že už máme dlouholeté zkušenosti .
Et donc , en fait , c' est la plus ancienne association de consommateurs en Europe .	Je to vlastně nejstarší združení spotřebitelů v Evropě .
Je tiens à préciser que notre association est entièrement indépendante , elle n' a aucun lien avec l' Etat , avec aucune entreprise , ni aucun avec aucun homme politique , syndicat ou média .	Naše sdružení je zcela nezávislé . Nemá žádné napojení na stát . Na žádné firmy nebo na žádné odbory . Ani na žádná média .
Depuis 1961 , nous publions régulièrement un une revue .	Od roku 1961 publikujeme časopis .
Cette revue nous permet de présenter les tests que nous faisons pour comparer les produits .	Tam můžeme představit různé testy , porovnání produktů .
Elle nous permet aussi de publier différentes enquêtes , justement , qui travaillent , qui analysent les produits qui sont protég- proposés à la vente .	Také jsou tam různé výsledky vyšetřování a analýz , které děláme .
Aujourd' hui nous avons donc toujours une version papier et bien évidemment nous avons aussi une version en ligne à disposition du public de nos abonnés .	Samozřejmě máme stále papírovou verzi , ale máme i online verzi tohoto časopisu . Je k dispozici našim předplatitelům .
Nous travaillons dans tous les domaines , on peut dire nous travaillons sur tous les fronts , à savoir aussi bien l' alimentation , l' énergie , l' environnement , les finances , le logement , la santé et bien évidemment aussi les technologies de l' information et de la communication .	Pracujeme v různých oblastech . Takže je to jídlo , ale také životní prostředí , finance , ubytování , zdravotnictví a samozřejmě také informační technologie a komunikační technologie .
Enfin , sur notre site internet , nous proposons également des conseils pratiques .	Na naší webové stránce vám také nabízíme různé praktické rady .
Si vous avez besoin d' informations , vous pouvez vous rendre soit dans les associations locales , soit effectivement chercher des informations sur nos pages internet .	Můžete totiž získat informace u těch lokálních sdružení .
Et nous proposons également aussi des formulaires ou des lettres type pour aider les gens à à réussir à concrétiser leurs plaintes .	Dále na stránkách jsou také různé formuláře , šablony dopisů , aby lidé mohli lépe formulovat své stížnosti .
Et donc , ces lettres sont à disposition en ligne pour les consommateurs .	
Et puis nos associations locales organisent régulièrement également des formations , des formations pour le public et des formations bien sûr pour les membres de nos associations .	Místní sdružení také pravidelně pořádají různé semináře . Různé vzdělávací akce pro veřejnost , ale také přímo pro členy sdružení .
Je voudrais maintenant revenir sur deux cas concrets sur lesquels nous avons agi dernièrement .	Teď bych se rád věnoval dvěma konkrétním případům , kdy jsme , do kterých jsme přímo zasahovali .
Ça me je pense que ça vous permettra de mieux comprendre notre action et ce que nous faisons régulièrement .	Myslím , že vám to lépe pochopí , lépe pomůže pochopit to , co děláme , čemu se věnujeme .
Le premier cas , le premier domaine que j' aimerais mentionner concerne les publicités qui sont diffusées à la télé mais également sur internet désormais .	Zaprvé to je případ , který se týká reklam . Tyto reklamy jsou v televizi , ale také na internetu .
Et cela découle d' une enquête que nous avons faite au mois d' octobre 2020 .	Týká se to vyšetřování ze října 2020 .
Une enquête justement sur les aliments qui sont présentés dans les publicités à la télévision , donc aussi bien la télévision publique que les télévisions privées .	Týkalo se to potravinových produktů v reklamách ve veřejné televizi , ale také v soukromých televizních kanálech .
Et nous avons fait une enquête sur leurs intérêts nutritionnels , c' est-à-dire que nous les avons classés en fonction de leur qualité .	A bylo to vlastně vyšetřování ohledně nutriční hodnoty těch jednotlivých produktů . Takže jsme udělali takové roztřídění podle kvality .
Nous avons établi un classement sur sur une échelle qui va de A à F , A étant la meilleure qualité et F étant des aliments de qualité médiocre .	Byla to taková škála od A až do F . F znamenalo nejhorší kvalitu . A byla ta nejlepší kvalita .
Nous nous sommes rendus compte lors de cette enquête que les publicités qui ét- dest- qui étaient destinées à des aliments pour les enfants présentaient des produits qui à 90 % avaient été catalogués dans les sections D et E de notre classification .	Během tohoto vyšetřování jsme si uvědomili , že v některých některých produktech , které byly pro děti , tato klasifikace skončila hůř . Řeknu vám určité příklady .
Pour vous donner un exemple , les aliments qui sont destinés aux adultes ou qui n' ont pas de destinataires précis ont plutôt un pourcentage de 43 % d' aliments qui sont dans la catégorie D et E. Donc vous voyez qu' il y a une grosse différence entre les aliments pour tous et les aliments pour enfants .	Jídla , které je určená pro všechny . 43 % produktů byly v kategorii D až E . To znamená , že v těch potravinách přímo pro děti byl velký rozdíl , protože ty se kategorizovaly hůř .
