Dobrý den všem . Doufám , že mě slyšíte , pokud ne , tak mi to nějak prosím rychle signalizujte .	Hello , hopefully everybody can hear me .
Děkuji .	
Pardon , už jsem se odmutovala , nevím , jak se to stalo , že mě to zamutovalo .	Sorry , I was muted , but now it should be okay .
Nevím , jestli zvládnu tedy zodpovědět všechny otázky , které Kateřina naznačila ve svém úvodu , ale uvidíme .	I 'm not sure if I 'll be able to answer all questions , so we 'll see .
Proč jsem si tedy pro dnešní akci vybrala zdánlivě nesouvisející nebo okrajové téma ?	I 'd like to talk about why I decided on this topic today .
Myslím si , že s tím , jak je umělá inteligence stále víc součástí našich životů , tak je dobré si uvědomit , jaký je rozdíl mezi inteligentním uvažováním člověka a fungováním počítače , protože v tom je zásadní rozdíl .	I believe AI is becoming a bigger part of our lives every day . That is why I believe we should understand the difference between the human brain and the computer intelligence .
A myslím si , že nám to v konečném součtu pomůže nejen lépe poznávat lidský mozek , což je trošku můj obor jako psycholožky . Ale i lépe a užitečnějším způsobem rozvíjet umělou inteligenci . Když mluvíme o lidském mozku , tak je dobré začít na začátku všeho , tedy u narození .	I , as a psychologist , of course , like to look at the difference between human brain and computer intelligence . And hopefully we 'll be able to understand human intelligence more thanks to this .
Když se narodí zdravý novorozenec , tak je vybaven více než desítkou reflexů .	When a child is born , they have at least 10 reflexes .
To slovo reflex je důležité .	Reflexes are very important .
Je to připravená reakce na určitý biologický podnět .	It is a reaction to biological prompt .
A ta reakce je velmi důležitá pro jeho přežití .	This is extremely important to the newborn 's survival .
To znamená , že novorozenec otáčí hlavu směrem ke všemu , co se dotkne jeho tváře . Saje všechno , co se mu dostane do úst . Když se ponoří do vody , zadrží dech .	The newborn sucks everything that is in his mouth . He turns his head to everybody who touches him .
A je schopen uchopit věci rukou tak silně , že téměř udrží svou vlastní váhu .	And also newborns have a grip that can hold almost their own weight .
Takže se narodí s mnoha užitečnými reflexy , jak už jsem říkala .	
Má nějaké smysly a má nějaké mechanismy učení .	So there are mechanisms and senses .
A to všechno se má v mozku už při narození . Což je docela dost užitečných věcí .	All of this is present in their brain at the time of birth .
No a teď vám řeknu , co člověk nemá v mozku když se narodí .	Now , I 'd like to talk about what a human brain doesn 't have after being born .
Takže nemá tam informace , data , software , algoritmy , programy , modely , paměti , obrazy , procesory nebo symboly . To to jsou všechno nějaké strukturální prvky nebo nástroje nebo něco .	It doesn 't have data , it doesn 't have software , it doesn 't have algorithms or software models or images , processors , or symbols .
Architektura , součásti architektury , které umožňují počítačům chovat se inteligentně . Ale člověk takové věci v mozku nemá a ani jednou za celý svůj život si takové věci v mozku nevyvíjí .	All of this are structural features and tools that is something that helps AI to do its tasks , but humans don 't have this in their brain .
