Dobrý den všem .	Bonjour à toutes et tous .
Doufám , že mě slyšíte , pokud ne , tak mi to nějak prosím rychle signalizujte .	J' espère que tout le monde m' entend . Sinon , signalez-moi les quelques problèmes .
Děkuji .	Il n' y a pas de problème , merci . ...
Pardon , už jsem se odmutovala , nevím , jak se to stalo , že mě to zamutovalo .	Je , par inadvertance , j' ai coupé ai coupé mon micro , mais tout le monde m' entend maintenant .
Nevím , jestli zvládnu tedy zodpovědět všechny otázky , které Kateřina naznačila ve svém úvodu , ale uvidíme .	Je ne sais pas si je vais être capable de répondre à toutes les questions que Katerina a évoquées tout au début .
Proč jsem si tedy pro dnešní akci vybrala zdánlivě nesouvisející nebo okrajové téma ?	Pourquoi est-ce que j' ai choisi ce sujet qui n' est pas forcément lié , qui est un sujet marginal ?
Myslím si , že s tím , jak je umělá inteligence stále víc součástí našich životů , tak je dobré si uvědomit , jaký je rozdíl mezi inteligentním uvažováním člověka a fungováním počítače , protože v tom je zásadní rozdíl .	Je pense que l' intelligence artificielle fait partie de plus en plus de notre vie quotidienne . Donc , il faut se rendre compte quelle est l' intelligence quelle est la différence entre l' intelligence humaine et l' intelligence artificielle , du cerveau artificiel .
	Donc , c' est très important .
A myslím si , že nám to v konečném součtu pomůže nejen lépe poznávat lidský mozek , což je trošku můj obor jako psycholožky . Ale i lépe a užitečnějším způsobem rozvíjet umělou inteligenci .	Et de cette de cette façon , on va comprendre comment le cerveau humain fonctionne , parce que c' est mon sujet en tant que membre du département de psychologie , mais on va être capable de comprendre comment l' intelligence artificielle fonctionne .
Když mluvíme o lidském mozku , tak je dobré začít na začátku všeho , tedy u narození .	Si l' on parle du cerveau humain , il faut commencer par le nouveau-né .
Když se narodí zdravý novorozenec , tak je vybaven více než desítkou reflexů .	Un nouveau-né , il a des dizaines de réflexes .
To slovo reflex je důležité .	
Je to připravená reakce na určitý biologický podnět . A ta reakce je velmi důležitá pro jeho přežití .	Ce sont des réactions qui sont capables de se produire quand il y a des , quand il y a des motifs naturels .
To znamená , že novorozenec otáčí hlavu směrem ke všemu , co se dotkne jeho tváře . Saje všechno , co se mu dostane do úst .	Donc naturellement , le nouveau-né est capable de retenir sa haleine , il est capable de tenir la main .
Když se ponoří do vody , zadrží dech .	
A je schopen uchopit věci rukou tak silně , že téměř udrží svou vlastní váhu .	
