Merci beaucoup , j' espère que vous m' entendez bien .	Děkuji , doufám , že mě dobře slyšíte .
Merci pour cette invitation et merci aussi pour les interventions très intéressantes dans la première partie euh de cette conférence , c' était vraiment très intéressant d' entendre les opinions euh des autres experts dans le domaine .	Děkuji za pozvání a také děkuji za ty předchozí příspěvky , které byly velice zajímavé . Bylo zajímavé slyšet názory ostatních expertů v tomto odvětví .
L' intelligence artificielle est aujourd' hui une partie incontour- incontour- incontournable , je suis désolée , de l' innovation . Le choix militaire , évidemment , n' est pas une exception .	Umělá inteligence v dnešní době je nevyhnutelnou inovací a samozřejmě se to týká i toho vojenství .
Concernant les armées françaises , l' IA est présente comme une priorité pour notre défense nationale . Elle est définie comme une priorité .	Pro francouzskou armádu je to jako definováno jako priorita , bezpečnost .
Il faut donc surtout se concentrer sur la recherche et le développement de l' AI dans ce domaine , mais aussi sur la coopération avec le secteur privé pour pouvoir potentiellement utiliser leur technologie dans le domaine de la défense et la sécurité , si jamais .	Musíme se soustředit na výzkum a vývoj v této oblasti , ale samozřejmě také na privátní sektor .
Les applications militaires de l' IA sont nombreuses et concernent surtout trois domaines principaux , avec des effets plus ou moins directs sur le champ de bataille .	Použití pro vojenské účely jsou různé . Týká se to několika hlavních oblastí .
Mais , ce sont des effets qui peuvent apporter des grands avantages aux forces armées qui maîtrisent l' intelligence artificielle .	Může to být přímo na bojišti , ale může to armádě přinést opravdu velké výhody .
Et peu importe si ce sont les forces aériennes , maritimes ou terrestres , ça peut être toujours utile .	Je jedno jestli se jedná o pozemní , vzdušné nebo námořní cíly . Vždy to může být užitečné .
Le premier domaine sont des fonctions qui ne sont pas directement liées au combat .	Zaprvé jsou to funkce , které nejsou přímo spojené s bojem .
Il s' agit par exemple de la logistique , la maintenance , la santé , etc. Le deuxième domaine important est l' entraînement des forces , qui permet en fait des applications nombreuses de l' AI , parce que les systèmes d' armes modernes offert offrent offrent déjà une large palette de capacités d' entraînement virtuel , des simulations par exemple , etc. Et l' intelligence artificielle peut aussi aider avec l' entraîne- d' entraînement en générant des scénarios d' exercice , en simulant des attaques des ennemis , etc. Et le troisième domaine est donc le combat lui-même , les opérations , les missions .	Třeba logistika , údržba , zdraví a tak dále . Druhou důležitou oblastí je výcvik sil . Díky tomu je možné umělou inteligenci používat v mnohých případech . Používá se různé virtuální výcviky nebo třeba i simulace . Umělá inteligence může také pomoci tím , že vytváří různé různé scénáře , simuluje útoky nepřátel a tak dále . A třetí oblastí je přímo boj , operace , mise .
Mais l' intelligence artificielle a aussi des nombreuses utilisations possibles dans la structure C2 , ça veut dire dans le commandement des forces armées .	Umělá inteligence také může být používána v takzvaných strukturách C2 , to znamená velení a řízení .
