Tak .	
Dobrý den vážené dámy a vážení pánové , pokud tu nějací pánové připojení jsou . Já se omlouvám , že jsem se mohla připojit až na druhou polovinu tohoto setkání .	Ladies and gentlemen , in case there are any gentlemen , I apologize for only participating in the second part of this meeting .
Vedla jsem kurz hypnoporodu a tak jsem se bohužel nemohla připojit dříve .	And I was just @ in a hypnobirthing course meeting so I couldn 't come earlier .
Každopádně jsem moc ráda , za , že jsem dostala pozvání na tuto online konferenci . Protože si myslím , že jako matka čtyřech dětí , porodní důla a certifikovaná porodní a certifikovaná lektorka hypnoporodu , mám k tématu porodnictví a k tomu , jak by měly porody v 21. století vypadat , mnoho co říci .	I 'm very glad I got invited to this online conference because I think that as a mother of four and a certified doula and lecturer of hypnobirth @ I believe I have a lot to say to the topic on what births in the 21st century should look like .
Já jsem přesvědčená , že porod může být krásný zážitek , na který rodička nebude vzpomínat s hrůzou .	I think that giving birth can be a wonderful , beautiful experience that will not be a terrifying memory to the mother .
A zajdu možná ještě o něco dál , protože jsem přesvědčená , že porod může být bezbolestný . A to jak po duševní , tak i po fyzické stránce .	A week ago- Even further than that , I think that it can be painless , that giving birth can be painless both mentally and physically .
Možná si nyní říkáte , je to vůbec možné ?	Maybe you may be asking , is it even possible ?
A jak toho docílit , aby porod byl bezbolestný ?	How can we do that so giving birth doesn 't hurt ?
Tak možné to je .	That 's not painful .
A těch cest , jak dojít k bezbolestnému krásnému porodu , je dokonce více . A jednou z těchto cest je právě metoda hypnoporodu .	There are many ways you can take in order to have a painless birth and one of them is hypnobirthing .
Co to co to hypnoporod vlastně je ?	So what is hypnobirthing ?
Tak .	
Hypnoporod je metoda , přístup k porodu , který by měl zajistit klidný a bezbolesný porod bez jakýkoliv lékařských zásahů .	It is a special method or an approach to giving birth that should ensure a calm painless birth without any medical intervention .
Vychází z předpokladu , že žena , která má dostatečné znalosti o fungování vlastního těla při porodu . Je schopna se na porodu aktivně podílet . A mít celý proces porodu pod kontrolou .	It 's based in the @ preposition that well-prepared woman can actively participate in the birth and have control over the whole process .
Hypno , v označení hypnoporod , odkazuje na hypnoterapii .	Hypno in the term hypnobirthing refers to hypnotherapy .
Ta je při této metodě používána k uvolnění strachu a k vyplavení endorfinů v určitých momentech v průběhu porodu . Možná si říkáte , je hypnoporod to stejné , co orgasmický porod , o kterém jste už určitě také slyšeli . Tak ne . Není to to stejné . I když cíl nebo účinek je velmi podobný .	Hypnotherapy is used for releasing fear and releasing endorphins at certain moments during labor . @ You might be asking yourselves @ whether hypnobirthing is the same as orgasmic birth you might have heard about , and it 's not the same thing , but the goals and effects might be similar .
