Bonjour à tous !	Dobrý den všem .
Vous m' entendez bien ?	Slyšíte mě dobře ?
J' espère que j' espère que oui . @ Et enfin merci beaucoup de m' avoir invité à à parler aujourd' hui .	Doufám , že všichni mě slyší . Takže děkuji ještě jednou , že jste mě pozvali na dnešní konferenci .
Comme on a déjà annoncé , je m' appelle Rosalie Lauren et je suis technicien consultante pour le projet Shift Moonwalkers . @ Je suis ici aujourd' hui pour vous parler de l' avenir de la marche et d' la façon dont les chaussures Shift Moonwalkers peuvent contribuer à améliorer l' expérience de la marche . @ Notamment à Prague , parce qu' on parle de de la ville de Prague aujourd' hui , bien évidemment , mais la marche en général . @ Pour vous démontrer un peu de ce quoi je @ de de ce que je parle , je vais vous @ faire voir une vidéo , mais elle est sans son , donc ...	Jak bylo již řečeno , jmenuji se Rosalie Lora a jsem technickou konzultantkou v projektu Shift Robotics . Dnes vám budu mluvit o budoucnosti chůze a o botách Shift Moonwalkers , jak mohou přispět k naší zkušenosti , co se týče chůze . Především co se týče Prahy , protože o ní dnes budeme mluvit , ale budu mluvit i o chůzi obecně . Abych vám trochu představila , o čem mluvím , tak vám pustím jedno video . Bude , ale bez zvuku .
	Doufám , že to bude fungovat .
J' espère que que ça ira bien @ pour @ les interprètes .	A doufám , že to bude fungovat také pro tlumočníky .
Juste pour que vous voyez à quoi les mots Moonwalkers rassemblent .	Jenom abyste viděli , co to Moonwalkers jsou .
	Takže .
	Jedná se o boty .
Alors , @ ces chaussures Moonwalkers fonctionnent grâce à une intelligence artificielle et huit petits trous alimentés par un moteur électrique .	A fungují na základě umělé inteligence . Je to osm malých koleček , které mají své elektrické motory .
Elles permettront de marcher à une vitesse maximum de 11 km par heure , ce qui fait 250 % de la vitesse @ normale d' un être hou- humain .	Je možné jít až osm , osm až jedenáct kilometrů za hodinu . Takže to je dvěstě padesát procent běžné rychlosti chůze .
Mais le faut que je répète que ce sont bien des chaussures , pas des patins , pas des rollers .	Ale musím zopakovat , že to jsou boty , nejsou to kolečkové brusle .
On marche avec eux , on ne patine pas .	Nebruslíme na nich , ale skutečně s nimi chodíme .
Elles sont nettement moins rigides .	Jsou ohebnější .
L' avant de la chaussure se plie pour suivre le mouvement des orteils et les roues ne sont pas alignées pour ne pas perturber l' équilibre de de notre corps humain .	Je možné s nimi chodit normálním způsobem . Ty ta kolečka nejsou úplně zarovnána a nenarušují tak rovnováhu lidského těla .
Les Moonwalkers se ran facilement dans un sac à dos , ce qui les rend bien plus pratiques @ qu' une trottinette électri , par exemple , même si la vitesse @ est comparable .	Je možné je dát do batohu , takže je to velice praktické . Je to praktičnější než koloběžka . I když samozřejmě ta rychlost je trochu jiná .
Elles fonction à l' électricité avec une autonomie d' environ 10 à 11 kilomètres .	Je možné s nimi ujít asi 10 km .
Et elles se chargent en une heure demie à peu près @ grâce à leurs portes USB-C , ce qui est @ déjà convégnant .	A je možné je nabíjet asi za hodinu a půl pomocí USB-C kabelu .
Alors , ces chaussures @ k- @ fonctionnent grâce à un moteur électrique le 300 va pour lal- alimenter les les roues .	Tyto boty , tedy jak jsem říkala , fungují na základě elektro elektrických motorů o 300 wattech .
