Tak .	Merci beaucoup .
Dobrý den vážené dámy a vážení pánové , pokud tu nějací pánové připojení jsou .	Bonjour , mesdames et messieurs , s' il y a des hommes .
Já se omlouvám , že jsem se mohla připojit až na druhou polovinu tohoto setkání .	Je suis désolé , mais je ne n' ai pas pu participer à la première partie de cette réunion .
Vedla jsem kurz hypnoporodu a tak jsem se bohužel nemohla připojit dříve .	J' ai enseigné un cours de l' accouchement sous hypnose donc je n' ai pas pu me connecter à cette conférence .
Každopádně jsem moc ráda , za , že jsem dostala pozvání na tuto online konferenci .	Merci pour l' invitation à cette conférence .
Protože si myslím , že jako matka čtyřech dětí , porodní důla a certifikovaná porodní a certifikovaná lektorka hypnoporodu , mám k tématu porodnictví a k tomu , jak by měly porody v 21. století vypadat , mnoho co říci .	J' ai je suis mère de quatre ... enfants , je suis ... enseignante doula certifiée et donc @ le sujet de l' obstétrique de l' accouchement m' est proche .
Já jsem přesvědčená , že porod může být krásný zážitek , na který rodička nebude vzpomínat s hrůzou .	Je suis convaincu que l' accouchement peut être une expérience priante , pas épouvantable pour la mère .
A zajdu možná ještě o něco dál , protože jsem přesvědčená , že porod může být bezbolestný .	Je vais aller plus loin . Je suis convaincu que l' accouchement peut se dérouler sans douleur .
A to jak po duševní , tak i po fyzické stránce .	Cela , du point de du vue physique , mais aussi mental .
Možná si nyní říkáte , je to vůbec možné ?	Est-ce que c' est possible ? Vous vous posez cette question .
A jak toho docílit , aby porod byl bezbolestný ?	Comment assurer un accouchement sans douleur ?
Tak možné to je . A těch cest , jak dojít k bezbolestnému krásnému porodu , je dokonce více . A jednou z těchto cest je právě metoda hypnoporodu .	Il y a plusieurs possibilités , il y a plusieurs solutions . L' une de ces solutions , c' est la méthode de l' accouchement sous hypnose .
Co to co to hypnoporod vlastně je ?	Qu' est-ce que l' accouchement sous hypnose ?
Tak .	
